rk,player,nation,squad,comp,season,age,born,ninety_mins_played,touches,def_pen_area_touches,def_third_touches,mid_third_touches,att_third_touches,att_pen_area_touches,live_ball_touches,take_ons_attempted,take_ons_successful,take_on_succ_pct,take_ons_tackled,take_on_tackled_pct,carries,total_distance_carried,progressive_carries_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,position,age_range,general_position,country,continent
743,Jaume Doménech,ESP,Valencia,La Liga,2021,30.0,1990.0,3.8,115,99,113,2,0,0,115,0,0,,0,,48,290,131,0,0,0,0,0,31,0,GK,30-34,Goalkeeper,Spain,Europe
771,Rubén Duarte,ESP,Alavés,La Liga,2021,25.0,1995.0,29.1,1676,101,535,737,415,16,1676,9,5,55.6,4,44.4,679,2885,1414,35,31,2,20,7,695,46,DF,25-29,Defender,Spain,Europe
777,Unai Dufur,ESP,Osasuna,La Liga,2021,22.0,1999.0,1.0,61,6,16,42,3,2,61,0,0,,0,,36,146,56,0,0,0,0,0,34,0,DF,20-24,Defender,Spain,Europe
783,Hugo Duro,ESP,Getafe,La Liga,2021,21.0,1999.0,0.1,7,0,0,1,6,4,7,0,0,,0,,5,7,1,0,0,0,0,0,5,1,"DF,MF",20-24,Defender,Spain,Europe
784,Hugo Duro,ESP,Valencia,La Liga,2021,21.0,1999.0,20.4,623,24,85,251,290,60,623,25,13,52.0,12,48.0,332,1196,454,12,15,8,57,32,413,87,"FW,MF",20-24,Forward,Spain,Europe
803,Alberth Elis,HON,Bordeaux,Ligue 1,2021,25.0,1996.0,15.7,517,11,63,189,271,76,516,45,16,35.6,29,64.4,338,2284,1101,42,23,18,54,31,373,118,"FW,MF",25-29,Forward,Honduras,North America
807,Aritz Elustondo,ESP,Real Sociedad,La Liga,2021,27.0,1994.0,23.4,1392,162,679,647,75,14,1392,7,6,85.7,1,14.3,755,4470,2496,20,14,0,11,1,819,12,DF,25-29,Defender,Spain,Europe
822,Aarón Escandell,ESP,Granada,La Liga,2021,25.0,1995.0,3.2,137,115,137,0,0,0,137,0,0,,0,,64,402,250,0,0,0,0,0,34,0,GK,25-29,Goalkeeper,Spain,Europe
823,Sergio Escudero,ESP,Granada,La Liga,2021,31.0,1989.0,15.9,934,47,281,443,214,14,934,12,3,25.0,9,75.0,352,1514,801,17,13,1,19,10,412,37,"DF,MF",30-34,Defender,Spain,Europe
830,Jonny Evans,NIR,Leicester City,Premier League,2021,33.0,1988.0,15.0,1147,154,632,484,38,12,1147,3,2,66.7,1,33.3,657,2803,1537,1,3,0,4,0,747,4,DF,30-34,Defender,Northern Ireland,Europe
836,Cesc Fàbregas,ESP,Monaco,Ligue 1,2021,34.0,1987.0,0.4,59,1,8,24,27,1,59,1,0,0.0,1,100.0,31,96,50,2,0,1,0,0,42,3,MF,30-34,Midfielder,Spain,Europe
