rk,player,nation,squad,comp,season,age,born,ninety_mins_played,passes_attempted,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins,corner_kicks,inswinging_corners,outswinging_corners,straight_corners,passes_completed,passes_offside,passes_blocked,position,age_range,general_position,country,continent
2089,Ayoze Pérez,ESP,Leicester City,Premier League,2021,28.0,1993.0,4.9,156,150,4,0,1,0,3,1,0,0,0,0,123,2,4,"MF,FW",25-29,Midfielder,Spain,Europe
2090,Carles Pérez,ESP,Roma,Serie A,2021,23.0,1998.0,6.2,244,221,23,1,1,0,19,7,15,10,2,0,205,0,6,"MF,FW",20-24,Midfielder,Spain,Europe
2091,Iñigo Pérez,ESP,Osasuna,La Liga,2021,33.0,1988.0,3.8,153,129,23,5,1,5,31,2,16,5,9,1,96,1,2,MF,30-34,Midfielder,Spain,Europe
2092,Juan Pérez,ESP,Osasuna,La Liga,2021,25.0,1996.0,2.0,41,29,12,3,0,0,0,0,0,0,0,0,20,0,0,GK,25-29,Goalkeeper,Spain,Europe
2093,Kike Pérez,ESP,Elche,La Liga,2021,24.0,1997.0,5.8,248,232,12,5,4,4,7,2,4,1,3,0,181,4,9,"MF,FW",20-24,Midfielder,Spain,Europe
2111,Jens Petter Hauge,NOR,Eint Frankfurt,Bundesliga,2021,21.0,1999.0,11.6,426,411,14,3,6,4,5,9,1,0,0,0,305,1,17,"MF,FW",20-24,Midfielder,Norway,Europe
2139,Gerard Piqué,ESP,Barcelona,La Liga,2021,34.0,1987.0,23.2,1688,1625,57,47,2,27,0,5,0,0,0,0,1514,6,7,DF,30-34,Defender,Spain,Europe
2153,Pere Pons,ESP,Alavés,La Liga,2021,28.0,1993.0,15.2,374,351,19,4,0,2,8,2,0,0,0,0,267,4,10,MF,25-29,Midfielder,Spain,Europe
2156,Portu,ESP,Real Sociedad,La Liga,2021,29.0,1992.0,17.7,486,462,22,2,3,0,35,9,7,2,1,0,353,2,18,"FW,MF",25-29,Forward,Spain,Europe
2158,Sergio Postigo,ESP,Levante,La Liga,2021,32.0,1988.0,9.4,364,343,21,17,0,1,0,1,0,0,0,0,304,0,2,DF,30-34,Defender,Spain,Europe
2162,José Pozo,ESP,Rayo Vallecano,La Liga,2021,25.0,1996.0,0.8,53,51,0,0,2,0,2,0,0,0,0,0,46,2,0,"MF,DF",25-29,Midfielder,Spain,Europe
2164,Mateusz Praszelik,POL,Hellas Verona,Serie A,2021,20.0,2000.0,0.3,11,11,0,0,0,0,0,0,0,0,0,0,9,0,0,MF,20-24,Midfielder,Poland,Europe
2165,Abdón Prats,ESP,Mallorca,La Liga,2021,28.0,1992.0,7.1,156,139,17,1,0,2,2,0,0,0,0,0,104,0,5,FW,25-29,Forward,Spain,Europe
2174,Javi Puado,ESP,Espanyol,La Liga,2021,23.0,1998.0,24.9,638,619,17,1,4,5,18,9,0,0,0,0,520,2,15,"MF,FW",20-24,Midfielder,Spain,Europe
2175,Marc Pubill,ESP,Levante,La Liga,2021,18.0,2003.0,5.7,269,212,56,5,0,0,15,51,0,0,0,0,209,1,9,"DF,MF",Under 20,Defender,Spain,Europe
2176,Antonio Puertas,ESP,Granada,La Liga,2021,29.0,1992.0,25.1,690,651,36,2,3,5,42,31,2,0,0,0,482,3,29,"MF,FW",25-29,Midfielder,Spain,Europe
2177,Riqui Puig,ESP,Barcelona,La Liga,2021,21.0,1999.0,5.4,453,443,9,6,0,2,1,1,1,0,0,0,418,1,5,MF,20-24,Midfielder,Spain,Europe
2188,Dani Raba,ESP,Villarreal,La Liga,2021,25.0,1995.0,1.0,48,35,13,5,2,0,10,1,4,2,2,0,29,0,0,"MF,FW",25-29,Midfielder,Spain,Europe
2189,Dani Raba,ESP,Granada,La Liga,2021,25.0,1995.0,0.3,3,3,0,0,1,0,0,0,0,0,0,0,2,0,0,"MF,FW",25-29,Midfielder,Spain,Europe
2192,Nemanja Radoja,SRB,Levante,La Liga,2021,28.0,1993.0,13.5,460,451,9,5,0,4,5,1,0,0,0,0,384,0,14,MF,25-29,Midfielder,Serbia,Europe
2193,Nemanja Radonjić,SRB,Marseille,Ligue 1,2021,25.0,1996.0,0.2,10,10,0,0,0,0,0,0,0,0,0,0,9,0,0,FW,25-29,Forward,Serbia,Europe
2197,Boris Radunović,SRB,Cagliari,Serie A,2021,25.0,1996.0,3.0,100,64,36,8,0,0,0,0,0,0,0,0,55,0,0,GK,25-29,Goalkeeper,Serbia,Europe
2203,Predrag Rajković,SRB,Reims,Ligue 1,2021,25.0,1995.0,38.0,1266,860,400,115,1,0,0,0,0,0,0,0,898,6,2,GK,25-29,Goalkeeper,Serbia,Europe
2207,Jonás Ramalho,ESP,Osasuna,La Liga,2021,28.0,1993.0,2.7,134,113,21,0,0,0,5,21,0,0,0,0,97,0,4,DF,25-29,Defender,Spain,Europe
2209,Sandro Ramírez,ESP,Getafe,La Liga,2021,26.0,1995.0,16.2,389,357,31,3,1,2,39,7,5,4,0,0,280,1,13,FW,25-29,Forward,Spain,Europe
2211,Sergio Ramos,ESP,Paris S-G,Ligue 1,2021,35.0,1986.0,8.9,829,808,20,17,0,19,0,2,0,0,0,0,776,1,2,DF,35-39,Defender,Spain,Europe
2226,David Raya,ESP,Brentford,Premier League,2021,25.0,1995.0,24.0,1085,798,280,78,0,3,0,0,0,0,0,0,737,7,3,GK,25-29,Goalkeeper,Spain,Europe
