rk,player,nation,squad,comp,season,age,born,ninety_mins_played,passes_attempted,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins,corner_kicks,inswinging_corners,outswinging_corners,straight_corners,passes_completed,passes_offside,passes_blocked,position,age_range,general_position,country,continent
1223,Igor,BRA,Fiorentina,Serie A,2021,23.0,1998.0,24.9,1688,1629,59,50,1,17,2,9,0,0,0,0,1550,0,9,DF,20-24,Defender,Brazil,South America
1223,Igor,BRA,Fiorentina,Serie A,2021,23.0,1998.0,24.9,1688,1629,59,50,1,17,2,9,0,0,0,0,1550,0,9,DF,20-24,Defender,Brazil,South America
1223,Igor,BRA,Fiorentina,Serie A,2021,23.0,1998.0,24.9,1688,1629,59,50,1,17,2,9,0,0,0,0,1550,0,9,DF,20-24,Defender,Brazil,South America
1223,Igor,BRA,Fiorentina,Serie A,2021,23.0,1998.0,24.9,1688,1629,59,50,1,17,2,9,0,0,0,0,1550,0,9,DF,20-24,Defender,Brazil,South America
1224,Kelechi Iheanacho,NGA,Leicester City,Premier League,2021,24.0,1996.0,14.0,361,343,16,1,10,3,6,4,1,1,0,0,276,2,16,FW,20-24,Forward,Nigeria,Africa
1231,Stefan Ilsanker,AUT,Eint Frankfurt,Bundesliga,2021,32.0,1989.0,3.0,112,107,5,3,0,3,0,2,0,0,0,0,90,0,1,"DF,MF",30-34,Defender,Austria,Europe
1234,Danny Ings,ENG,Aston Villa,Premier League,2021,29.0,1992.0,21.1,378,354,21,1,3,6,13,1,0,0,0,0,251,3,17,FW,25-29,Forward,England,Europe
1237,Bonke Innocent,NGA,Lorient,Ligue 1,2021,25.0,1996.0,9.7,385,378,7,7,0,3,2,0,0,0,0,0,334,0,3,MF,25-29,Midfielder,Nigeria,Africa
1238,Lorenzo Insigne,ITA,Napoli,Serie A,2021,30.0,1991.0,25.4,1509,1378,126,33,16,26,90,30,62,22,23,0,1208,5,17,FW,30-34,Forward,Italy,Europe
1239,Nikita Iosifov,RUS,Villarreal,La Liga,2021,20.0,2001.0,0.0,4,4,0,0,0,0,2,0,0,0,0,0,2,0,0,MF,20-24,Midfielder,Russia,Europe
1241,Alexander Isak,SWE,Real Sociedad,La Liga,2021,21.0,1999.0,23.8,440,399,40,0,5,1,17,5,1,0,0,0,316,1,24,FW,20-24,Forward,Sweden,Europe
1244,Ardian Ismajli,ALB,Empoli,Serie A,2021,24.0,1996.0,14.1,725,683,40,22,1,1,3,9,0,0,0,0,616,2,6,DF,20-24,Defender,Albania,Europe
1245,Hiroki Ito,JPN,Stuttgart,Bundesliga,2021,22.0,1999.0,26.1,1834,1737,90,34,2,22,21,54,1,1,0,0,1486,7,8,DF,20-24,Defender,Japan,Asia
1246,Cedric Itten,SUI,Greuther Fürth,Bundesliga,2021,24.0,1996.0,7.1,141,134,7,0,0,1,5,0,0,0,0,0,81,0,9,FW,20-24,Forward,Switzerland,Europe
1248,Alex Iwobi,NGA,Everton,Premier League,2021,25.0,1996.0,22.6,782,721,57,2,6,6,32,50,1,0,1,0,599,4,25,"MF,DF",25-29,Midfielder,Nigeria,Africa
1249,Armando Izzo,ITA,Torino,Serie A,2021,29.0,1992.0,5.8,307,280,26,20,0,0,3,6,0,0,0,0,240,1,0,DF,25-29,Defender,Italy,Europe
1250,Nicolas Jackson,SEN,Villarreal,La Liga,2021,20.0,2001.0,1.8,51,49,2,0,0,1,1,0,0,0,0,0,38,0,3,"FW,MF",20-24,Forward,Senegal,Africa
1252,Paul Jaeckel,GER,Union Berlin,Bundesliga,2021,23.0,1998.0,22.7,1142,1103,37,29,0,12,4,8,0,0,0,0,905,2,15,DF,20-24,Defender,Germany,Europe
1253,Mato Jajalo,BIH,Udinese,Serie A,2021,33.0,1988.0,7.0,318,302,14,8,2,0,4,1,0,0,0,0,252,2,7,MF,30-34,Midfielder,Bosnia and Herzegovina,Europe
1258,Daniel James,WAL,Manchester Utd,Premier League,2021,23.0,1997.0,1.4,34,34,0,0,0,0,5,0,0,0,0,0,20,0,2,FW,20-24,Forward,Wales,Europe
1259,Daniel James,WAL,Leeds United,Premier League,2021,23.0,1997.0,26.3,508,472,34,2,2,1,60,5,0,0,0,0,326,2,27,"FW,MF",20-24,Forward,Wales,Europe
1260,Reece James,ENG,Chelsea,Premier League,2021,21.0,1999.0,20.7,1687,1439,244,33,2,8,108,196,15,7,5,0,1450,4,32,DF,20-24,Defender,England,Europe
1260,Reece James,ENG,Chelsea,Premier League,2021,21.0,1999.0,20.7,1687,1439,244,33,2,8,108,196,15,7,5,0,1450,4,32,DF,20-24,Defender,England,Europe
1260,Reece James,ENG,Chelsea,Premier League,2021,21.0,1999.0,20.7,1687,1439,244,33,2,8,108,196,15,7,5,0,1450,4,32,DF,20-24,Defender,England,Europe
1260,Reece James,ENG,Chelsea,Premier League,2021,21.0,1999.0,20.7,1687,1439,244,33,2,8,108,196,15,7,5,0,1450,4,32,DF,20-24,Defender,England,Europe
1261,Vitaly Janelt,GER,Brentford,Premier League,2021,23.0,1998.0,25.5,1005,941,60,28,4,8,40,11,12,10,2,0,755,4,17,MF,20-24,Midfielder,Germany,Europe
1263,Pontus Jansson,SWE,Brentford,Premier League,2021,30.0,1991.0,36.9,1507,1448,55,40,1,3,1,13,0,0,0,0,1218,4,7,DF,30-34,Defender,Sweden,Europe
1264,Tony Jantschke,GER,Gladbach,Bundesliga,2021,31.0,1990.0,2.5,121,117,4,4,0,0,1,0,0,0,0,0,88,0,0,DF,30-34,Defender,Germany,Europe
1265,Adnan Januzaj,BEL,Real Sociedad,La Liga,2021,26.0,1995.0,18.1,749,606,134,44,5,15,146,7,82,34,39,0,486,9,27,"FW,MF",25-29,Forward,Belgium,Europe
1266,Léo Jardim,BRA,Lille,Ligue 1,2021,26.0,1995.0,17.0,435,290,145,20,0,0,0,0,0,0,0,0,275,0,0,GK,25-29,Goalkeeper,Brazil,South America
1272,Corentin Jean,FRA,Lens,Ligue 1,2021,26.0,1995.0,2.8,116,100,16,1,0,1,10,13,2,2,0,0,85,0,5,"FW,MF",25-29,Forward,France,Europe
1273,Jemerson,BRA,Metz,Ligue 1,2021,28.0,1992.0,13.4,485,448,36,33,0,8,0,3,0,0,0,0,410,1,8,DF,25-29,Defender,Brazil,South America
1274,Fredrik Jensen,FIN,Augsburg,Bundesliga,2021,23.0,1997.0,4.6,117,111,6,0,1,0,18,1,5,2,2,0,63,0,8,"MF,FW",20-24,Midfielder,Finland,Europe
1275,Mathias Jensen,DEN,Brentford,Premier League,2021,25.0,1996.0,17.8,795,689,101,38,3,11,79,5,47,23,15,4,574,5,13,MF,25-29,Midfielder,Denmark,Europe
1276,Moritz Jenz,GER,Lorient,Ligue 1,2021,22.0,1999.0,15.3,691,664,25,23,0,4,0,2,0,0,0,0,584,2,6,DF,20-24,Defender,Germany,Europe
1277,Gabriel Jesus,BRA,Manchester City,Premier League,2021,24.0,1997.0,20.9,770,749,20,1,4,5,24,6,0,0,0,0,637,1,19,FW,20-24,Forward,Brazil,South America
1278,Juan Jesus,BRA,Napoli,Serie A,2021,30.0,1991.0,14.2,838,796,42,29,0,2,2,1,0,0,0,0,740,0,9,DF,30-34,Defender,Brazil,South America
1280,Raúl Jiménez,MEX,Wolves,Premier League,2021,30.0,1991.0,29.2,775,715,55,2,8,7,10,9,0,0,0,0,549,5,31,FW,30-34,Forward,Mexico,North America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1281,João Pedro,BRA,Watford,Premier League,2021,19.0,2001.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,"FW,MF",Under 20,Forward,Brazil,South America
1283,Joelinton,BRA,Newcastle Utd,Premier League,2021,24.0,1996.0,28.4,944,931,11,0,1,4,22,9,0,0,0,0,718,2,26,"MF,FW",20-24,Midfielder,Brazil,South America
1285,Marco John,GER,Hoffenheim,Bundesliga,2021,19.0,2002.0,0.5,16,13,3,0,0,0,0,3,0,0,0,0,15,0,0,DF,Under 20,Defender,Germany,Europe
1287,Ben Johnson,ENG,West Ham,Premier League,2021,21.0,2000.0,15.5,763,612,149,5,0,14,55,144,0,0,0,0,519,2,25,DF,20-24,Defender,England,Europe
1288,Curtis Jones,ENG,Liverpool,Premier League,2021,20.0,2001.0,9.5,599,582,16,5,1,3,6,5,4,0,2,0,538,1,10,MF,20-24,Midfielder,England,Europe
1289,Phil Jones,ENG,Manchester Utd,Premier League,2021,29.0,1992.0,1.8,81,81,0,0,0,0,0,0,0,0,0,0,71,0,2,DF,25-29,Defender,England,Europe
1290,Frenkie de Jong,NED,Barcelona,La Liga,2021,24.0,1997.0,27.5,1680,1643,30,19,9,12,31,4,7,3,3,0,1504,7,20,MF,20-24,Midfielder,Netherlands,Europe
1293,Kaio Jorge,BRA,Juventus,Serie A,2021,19.0,2002.0,1.3,39,38,1,0,0,0,1,0,0,0,0,0,29,0,1,"MF,FW",Under 20,Midfielder,Brazil,South America
1294,Jorginho,ITA,Chelsea,Premier League,2021,29.0,1991.0,25.3,1887,1844,42,42,8,4,3,0,0,0,0,0,1681,1,13,MF,25-29,Midfielder,Italy,Europe
1294,Jorginho,ITA,Chelsea,Premier League,2021,29.0,1991.0,25.3,1887,1844,42,42,8,4,3,0,0,0,0,0,1681,1,13,MF,25-29,Midfielder,Italy,Europe
1294,Jorginho,ITA,Chelsea,Premier League,2021,29.0,1991.0,25.3,1887,1844,42,42,8,4,3,0,0,0,0,0,1681,1,13,MF,25-29,Midfielder,Italy,Europe
1294,Jorginho,ITA,Chelsea,Premier League,2021,29.0,1991.0,25.3,1887,1844,42,42,8,4,3,0,0,0,0,0,1681,1,13,MF,25-29,Midfielder,Italy,Europe
1294,Jorginho,ITA,Chelsea,Premier League,2021,29.0,1991.0,25.3,1887,1844,42,42,8,4,3,0,0,0,0,0,1681,1,13,MF,25-29,Midfielder,Italy,Europe
1294,Jorginho,ITA,Chelsea,Premier League,2021,29.0,1991.0,25.3,1887,1844,42,42,8,4,3,0,0,0,0,0,1681,1,13,MF,25-29,Midfielder,Italy,Europe
1294,Jorginho,ITA,Chelsea,Premier League,2021,29.0,1991.0,25.3,1887,1844,42,42,8,4,3,0,0,0,0,0,1681,1,13,MF,25-29,Midfielder,Italy,Europe
1294,Jorginho,ITA,Chelsea,Premier League,2021,29.0,1991.0,25.3,1887,1844,42,42,8,4,3,0,0,0,0,0,1681,1,13,MF,25-29,Midfielder,Italy,Europe
1294,Jorginho,ITA,Chelsea,Premier League,2021,29.0,1991.0,25.3,1887,1844,42,42,8,4,3,0,0,0,0,0,1681,1,13,MF,25-29,Midfielder,Italy,Europe
1294,Jorginho,ITA,Chelsea,Premier League,2021,29.0,1991.0,25.3,1887,1844,42,42,8,4,3,0,0,0,0,0,1681,1,13,MF,25-29,Midfielder,Italy,Europe
1294,Jorginho,ITA,Chelsea,Premier League,2021,29.0,1991.0,25.3,1887,1844,42,42,8,4,3,0,0,0,0,0,1681,1,13,MF,25-29,Midfielder,Italy,Europe
1294,Jorginho,ITA,Chelsea,Premier League,2021,29.0,1991.0,25.3,1887,1844,42,42,8,4,3,0,0,0,0,0,1681,1,13,MF,25-29,Midfielder,Italy,Europe
1294,Jorginho,ITA,Chelsea,Premier League,2021,29.0,1991.0,25.3,1887,1844,42,42,8,4,3,0,0,0,0,0,1681,1,13,MF,25-29,Midfielder,Italy,Europe
1294,Jorginho,ITA,Chelsea,Premier League,2021,29.0,1991.0,25.3,1887,1844,42,42,8,4,3,0,0,0,0,0,1681,1,13,MF,25-29,Midfielder,Italy,Europe
1294,Jorginho,ITA,Chelsea,Premier League,2021,29.0,1991.0,25.3,1887,1844,42,42,8,4,3,0,0,0,0,0,1681,1,13,MF,25-29,Midfielder,Italy,Europe
1294,Jorginho,ITA,Chelsea,Premier League,2021,29.0,1991.0,25.3,1887,1844,42,42,8,4,3,0,0,0,0,0,1681,1,13,MF,25-29,Midfielder,Italy,Europe
1296,Willian José,BRA,Betis,La Liga,2021,29.0,1991.0,17.8,541,501,38,1,5,15,7,2,0,0,0,0,418,2,11,FW,25-29,Forward,Brazil,South America
1299,Lenny Joseph,FRA,Metz,Ligue 1,2021,20.0,2000.0,1.7,32,28,4,0,0,0,1,1,0,0,0,0,20,0,0,"FW,MF",20-24,Forward,France,Europe
1300,Diogo Jota,POR,Liverpool,Premier League,2021,24.0,1996.0,26.3,770,765,0,0,10,1,21,0,0,0,0,0,559,5,23,FW,20-24,Forward,Portugal,Europe
1304,José Juan Macías,MEX,Getafe,La Liga,2021,21.0,1999.0,2.2,44,43,1,0,0,0,3,0,0,0,0,0,30,0,1,"FW,MF",20-24,Forward,Mexico,North America
1306,Gideon Jung,GER,Greuther Fürth,Bundesliga,2021,26.0,1994.0,1.6,63,59,4,4,0,1,0,0,0,0,0,0,49,0,0,DF,25-29,Defender,Germany,Europe
1311,James Justin,ENG,Leicester City,Premier League,2021,23.0,1998.0,11.1,677,565,110,8,0,4,15,102,0,0,0,0,540,2,18,DF,20-24,Defender,England,Europe
1315,Ozan Kabak,TUR,Norwich City,Premier League,2021,21.0,2000.0,10.2,431,419,12,11,0,4,1,1,0,0,0,0,350,0,6,DF,20-24,Defender,Turkey,Asia
