rk,player,nation,squad,comp,season,age,born,ninety_mins_played,shot_creating_actions,sca_per_90,pass_live_sca,pass_dead_sca,take_on_sca,shot_sca,foul_drawn_sca,defensive_action_sca,goal_creating_actions,gca_per_90,pass_live_gca,pass_dead_gca,take_on_gca,shot_gca,foul_drawn_gca,defensive_action_gca,position,age_range,general_position,country,continent
180,Fodé Ballo-Touré,SEN,Monaco,Ligue 1,2019,22.0,1997.0,18.7,31,1.66,20,3,3,1,3,1,0,0.0,0,0,0,0,0,0,DF,20-24,Defender,Senegal,Africa
181,Florent Balmont,FRA,Dijon,Ligue 1,2019,39.0,1980.0,4.5,8,1.8,4,2,0,2,0,0,0,0.0,0,0,0,0,0,0,MF,35-39,Midfielder,France,Europe
182,Mario Balotelli,ITA,Brescia,Serie A,2019,28.0,1990.0,15.6,36,2.31,18,0,2,7,9,0,1,0.06,1,0,0,0,0,0,FW,25-29,Forward,Italy,Europe
183,Abdoulaye Bamba,CIV,Angers,Ligue 1,2019,29.0,1990.0,6.2,6,0.97,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,DF,25-29,Defender,Ivory Coast,Africa
184,Jonathan Bamba,CIV,Lille,Ligue 1,2019,23.0,1996.0,21.5,87,4.04,49,13,11,7,6,1,7,0.33,5,0,0,1,1,0,"FW,MF",20-24,Forward,Ivory Coast,Africa
185,Éver Banega,ARG,Sevilla,La Liga,2019,31.0,1988.0,27.5,132,4.8,79,43,2,2,5,1,11,0.4,6,3,1,0,1,0,MF,30-34,Midfielder,Argentina,South America
186,Mattia Bani,ITA,Bologna,Serie A,2019,25.0,1993.0,24.5,11,0.45,11,0,0,0,0,0,1,0.04,1,0,0,0,0,0,DF,25-29,Defender,Italy,Europe
189,Federico Barba,ITA,Valladolid,La Liga,2019,25.0,1993.0,5.0,6,1.2,4,1,0,0,1,0,1,0.2,1,0,0,0,0,0,DF,25-29,Defender,Italy,Europe
190,Danilo Barbosa,BRA,Nice,Ligue 1,2019,23.0,1996.0,12.5,20,1.6,17,0,0,1,1,1,2,0.16,2,0,0,0,0,0,"DF,MF",20-24,Defender,Brazil,South America
193,Phil Bardsley,SCO,Burnley,Premier League,2019,34.0,1985.0,21.0,22,1.05,14,4,0,1,0,3,2,0.1,0,1,0,0,0,1,DF,30-34,Defender,Scotland,Europe
194,Nicolò Barella,ITA,Inter,Serie A,2019,22.0,1997.0,22.4,61,2.73,50,1,3,2,5,0,5,0.22,4,0,0,0,1,0,MF,20-24,Midfielder,Italy,Europe
195,Philipp Bargfrede,GER,Werder Bremen,Bundesliga,2019,30.0,1989.0,6.5,12,1.85,12,0,0,0,0,0,2,0.31,2,0,0,0,0,0,MF,30-34,Midfielder,Germany,Europe
