rk,player,nation,squad,comp,season,age,born,ninety_mins_played,passes_completed,passes_attempted,pass_completion_pct,total_pass_distance,progressive_pass_distance,short_passes_completed,short_passes_attempted,short_pass_completion_pct,medium_passes_completed,medium_passes_attempted,medium_pass_completion_pct,long_passes_completed,long_passes_attempted,long_pass_completion_pct,assists,xag,xa,assists_minus_xag,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,position,age_range,general_position,country,continent
145,Pierre-Emerick Aubameyang,GAB,Arsenal,Premier League,2020,31.0,1989.0,25.9,499,674,74.0,6849,1366,319,380,83.9,137,197,69.5,24,38,63.2,3,2.4,3.0,0.6,22,29,22,4,66,FW,30-34,Forward,Gabon,Africa
146,Emil Audero,ITA,Sampdoria,Serie A,2020,23.0,1997.0,37.0,877,1247,70.3,26471,19006,124,125,99.2,387,394,98.2,364,724,50.3,1,0.2,0.0,0.8,1,12,0,0,0,GK,20-24,Goalkeeper,Italy,Europe
147,Tommaso Augello,ITA,Sampdoria,Serie A,2020,25.0,1994.0,35.7,1564,2061,75.9,24859,10136,807,916,88.1,628,807,77.8,97,228,42.5,3,3.9,4.1,-0.9,29,100,40,25,157,DF,25-29,Defender,Italy,Europe
148,Jean-Kévin Augustin,FRA,Nantes,Ligue 1,2020,23.0,1997.0,0.4,4,4,100.0,36,0,4,4,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,FW,20-24,Forward,France,Europe
150,Serge Aurier,CIV,Tottenham,Premier League,2020,27.0,1992.0,17.8,772,980,78.8,10939,4252,449,499,90.0,255,333,76.6,33,59,55.9,3,3.4,1.9,-0.4,18,31,18,9,59,DF,25-29,Defender,Ivory Coast,Africa
151,Charlie Austin,ENG,West Brom,Premier League,2020,31.0,1989.0,1.5,23,34,67.6,297,111,17,20,85.0,4,7,57.1,1,2,50.0,0,0.0,0.0,0.0,0,2,0,0,3,"FW,MF",30-34,Forward,England,Europe
153,Taiwo Awoniyi,NGA,Union Berlin,Bundesliga,2020,22.0,1997.0,15.1,194,295,65.8,2588,456,120,164,73.2,54,81,66.7,10,18,55.6,2,1.3,0.8,0.7,20,8,2,0,16,FW,20-24,Forward,Nigeria,Africa
155,Jordan Ayew,GHA,Crystal Palace,Premier League,2020,28.0,1991.0,23.3,519,667,77.8,6434,1218,323,368,87.8,136,177,76.8,13,25,52.0,3,0.7,1.4,2.3,13,23,12,2,35,"FW,MF",25-29,Forward,Ghana,Africa
157,Luke Ayling,ENG,Leeds United,Premier League,2020,28.0,1991.0,37.8,2161,2770,78.0,39595,16160,910,1029,88.4,956,1148,83.3,248,451,55.0,0,3.2,3.2,-3.2,27,179,32,12,224,DF,25-29,Defender,England,Europe
158,Ramon Azeez,NGA,Granada,La Liga,2020,27.0,1992.0,1.1,29,37,78.4,365,43,22,26,84.6,7,11,63.6,0,0,,0,0.0,0.0,0.0,0,3,0,0,1,MF,25-29,Midfielder,Nigeria,Africa
161,Carlos Bacca,COL,Villarreal,La Liga,2020,33.0,1986.0,8.7,105,168,62.5,1346,317,62,89,69.7,23,37,62.2,6,14,42.9,0,1.0,0.6,-1.0,5,9,5,0,14,FW,30-34,Forward,Colombia,South America
