rk,player,nation,squad,comp,season,age,born,ninety_mins_played,passes_completed,passes_attempted,pass_completion_pct,total_pass_distance,progressive_pass_distance,short_passes_completed,short_passes_attempted,short_pass_completion_pct,medium_passes_completed,medium_passes_attempted,medium_pass_completion_pct,long_passes_completed,long_passes_attempted,long_pass_completion_pct,assists,xag,xa,assists_minus_xag,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,position,age_range,general_position,country,continent
1653,Marcelo,BRA,Lyon,Ligue 1,2021,34.0,1987.0,2.0,152,168,90.5,2765,843,49,54,90.7,94,101,93.1,8,10,80.0,0,0.0,0.0,0.0,0,1,0,0,11,DF,30-34,Defender,Brazil,South America
1654,Solly March,ENG,Brighton,Premier League,2021,27.0,1994.0,19.4,556,771,72.1,9536,2619,291,348,83.6,178,245,72.7,67,115,58.3,2,2.3,2.9,-0.3,35,30,33,8,69,"DF,FW",25-29,Defender,England,Europe
1655,Riccardo Marchizza,ITA,Empoli,Serie A,2021,23.0,1998.0,15.0,460,667,69.0,7988,2761,224,253,88.5,186,247,75.3,43,114,37.7,1,1.4,1.3,-0.4,11,36,13,10,58,DF,20-24,Defender,Italy,Europe
1656,Gian Marco Ferrari,ITA,Sassuolo,Serie A,2021,29.0,1992.0,34.7,2028,2259,89.8,37880,14982,726,787,92.2,1008,1083,93.1,231,297,77.8,0,0.5,0.6,-0.5,7,127,9,0,133,DF,25-29,Defender,Italy,Europe
1657,Iván Marcone,ARG,Elche,La Liga,2021,31.0,1990.0,9.0,355,432,82.2,6131,1902,163,190,85.8,140,153,91.5,38,54,70.4,0,0.0,0.1,0.0,0,24,1,1,28,MF,30-34,Midfielder,Argentina,South America
1659,Davide Marfella,ITA,Napoli,Serie A,2021,21.0,1999.0,0.1,1,1,100.0,15,9,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,GK,20-24,Goalkeeper,Italy,Europe
1663,José María Giménez,URU,Atlético Madrid,La Liga,2021,26.0,1995.0,22.7,820,929,88.3,16202,5701,268,285,94.0,429,466,92.1,100,144,69.4,1,0.9,0.2,0.1,5,36,0,0,44,DF,25-29,Defender,Uruguay,South America
1665,Răzvan Marin,ROU,Cagliari,Serie A,2021,25.0,1996.0,31.3,997,1303,76.5,18286,5962,440,503,87.5,371,435,85.3,156,285,54.7,5,6.4,5.8,-1.4,68,111,31,6,142,MF,25-29,Midfielder,Romania,Europe
1666,Guillermo Maripán,CHI,Monaco,Ligue 1,2021,27.0,1994.0,20.4,1195,1350,88.5,24172,8582,343,373,92.0,705,747,94.4,144,208,69.2,0,0.3,0.4,-0.3,2,80,2,0,80,DF,25-29,Defender,Chile,South America
1668,Omar Marmoush,EGY,Wolfsburg,Bundesliga,2021,22.0,1999.0,0.3,6,9,66.7,59,30,4,4,100.0,1,2,50.0,0,0,,0,0.2,0.1,-0.2,1,2,0,0,2,FW,20-24,Forward,Egypt,Africa
1669,Omar Marmoush,EGY,Stuttgart,Bundesliga,2021,22.0,1999.0,17.5,309,451,68.5,4764,1246,162,211,76.8,97,133,72.9,25,46,54.3,5,2.0,2.0,3.0,32,24,8,2,33,FW,20-24,Forward,Egypt,Africa
1670,Marquinhos,BRA,Paris S-G,Ligue 1,2021,27.0,1994.0,31.8,2241,2408,93.1,43015,15025,788,820,96.1,1190,1236,96.3,235,308,76.3,0,0.4,1.5,-0.4,7,145,9,0,128,DF,25-29,Defender,Brazil,South America
1670,Marquinhos,BRA,Paris S-G,Ligue 1,2021,27.0,1994.0,31.8,2241,2408,93.1,43015,15025,788,820,96.1,1190,1236,96.3,235,308,76.3,0,0.4,1.5,-0.4,7,145,9,0,128,DF,25-29,Defender,Brazil,South America
1670,Marquinhos,BRA,Paris S-G,Ligue 1,2021,27.0,1994.0,31.8,2241,2408,93.1,43015,15025,788,820,96.1,1190,1236,96.3,235,308,76.3,0,0.4,1.5,-0.4,7,145,9,0,128,DF,25-29,Defender,Brazil,South America
1670,Marquinhos,BRA,Paris S-G,Ligue 1,2021,27.0,1994.0,31.8,2241,2408,93.1,43015,15025,788,820,96.1,1190,1236,96.3,235,308,76.3,0,0.4,1.5,-0.4,7,145,9,0,128,DF,25-29,Defender,Brazil,South America
1670,Marquinhos,BRA,Paris S-G,Ligue 1,2021,27.0,1994.0,31.8,2241,2408,93.1,43015,15025,788,820,96.1,1190,1236,96.3,235,308,76.3,0,0.4,1.5,-0.4,7,145,9,0,128,DF,25-29,Defender,Brazil,South America
1670,Marquinhos,BRA,Paris S-G,Ligue 1,2021,27.0,1994.0,31.8,2241,2408,93.1,43015,15025,788,820,96.1,1190,1236,96.3,235,308,76.3,0,0.4,1.5,-0.4,7,145,9,0,128,DF,25-29,Defender,Brazil,South America
1670,Marquinhos,BRA,Paris S-G,Ligue 1,2021,27.0,1994.0,31.8,2241,2408,93.1,43015,15025,788,820,96.1,1190,1236,96.3,235,308,76.3,0,0.4,1.5,-0.4,7,145,9,0,128,DF,25-29,Defender,Brazil,South America
1670,Marquinhos,BRA,Paris S-G,Ligue 1,2021,27.0,1994.0,31.8,2241,2408,93.1,43015,15025,788,820,96.1,1190,1236,96.3,235,308,76.3,0,0.4,1.5,-0.4,7,145,9,0,128,DF,25-29,Defender,Brazil,South America
1670,Marquinhos,BRA,Paris S-G,Ligue 1,2021,27.0,1994.0,31.8,2241,2408,93.1,43015,15025,788,820,96.1,1190,1236,96.3,235,308,76.3,0,0.4,1.5,-0.4,7,145,9,0,128,DF,25-29,Defender,Brazil,South America
1680,Jonas Martin,FRA,Rennes,Ligue 1,2021,31.0,1990.0,23.4,1533,1695,90.4,25615,7212,731,792,92.3,638,672,94.9,117,149,78.5,1,1.3,1.1,-0.3,9,142,7,0,132,MF,30-34,Midfielder,France,Europe
1681,Gabriel Martinelli,BRA,Arsenal,Premier League,2021,20.0,2001.0,20.7,439,611,71.8,6765,1235,252,303,83.2,150,204,73.5,29,62,46.8,6,4.3,3.4,1.7,34,11,16,5,37,"FW,MF",20-24,Forward,Brazil,South America
1682,Emiliano Martínez,ARG,Aston Villa,Premier League,2021,28.0,1992.0,36.0,816,1103,74.0,21013,14329,202,203,99.5,383,390,98.2,227,502,45.2,0,0.0,0.0,0.0,0,15,0,0,0,GK,25-29,Goalkeeper,Argentina,South America
1682,Emiliano Martínez,ARG,Aston Villa,Premier League,2021,28.0,1992.0,36.0,816,1103,74.0,21013,14329,202,203,99.5,383,390,98.2,227,502,45.2,0,0.0,0.0,0.0,0,15,0,0,0,GK,25-29,Goalkeeper,Argentina,South America
1682,Emiliano Martínez,ARG,Aston Villa,Premier League,2021,28.0,1992.0,36.0,816,1103,74.0,21013,14329,202,203,99.5,383,390,98.2,227,502,45.2,0,0.0,0.0,0.0,0,15,0,0,0,GK,25-29,Goalkeeper,Argentina,South America
1682,Emiliano Martínez,ARG,Aston Villa,Premier League,2021,28.0,1992.0,36.0,816,1103,74.0,21013,14329,202,203,99.5,383,390,98.2,227,502,45.2,0,0.0,0.0,0.0,0,15,0,0,0,GK,25-29,Goalkeeper,Argentina,South America
1686,Lautaro Martínez,ARG,Inter,Serie A,2021,23.0,1997.0,25.4,371,510,72.7,5262,1164,207,259,79.9,113,155,72.9,21,34,61.8,3,3.2,1.9,-0.2,28,27,15,1,48,FW,20-24,Forward,Argentina,South America
1688,Lucas Martínez Quarta,ARG,Fiorentina,Serie A,2021,25.0,1996.0,15.9,1007,1123,89.7,21071,7834,310,333,93.1,543,581,93.5,146,186,78.5,0,1.0,0.5,-1.0,5,73,1,0,76,DF,25-29,Defender,Argentina,South America
1691,Omar Mascarell,EQG,Elche,La Liga,2021,28.0,1993.0,27.7,1051,1234,85.2,19127,5066,457,501,91.2,435,485,89.7,131,191,68.6,0,0.2,0.3,-0.2,7,69,4,0,92,MF,25-29,Midfielder,Equatorial Guinea,Africa
1692,Andrea Masiello,ITA,Genoa,Serie A,2021,35.0,1986.0,5.7,276,313,88.2,5179,2062,105,111,94.6,139,155,89.7,27,38,71.1,0,0.0,0.0,0.0,1,6,0,0,14,DF,35-39,Defender,Italy,Europe
1693,Adam Masina,MAR,Watford,Premier League,2021,27.0,1994.0,12.0,375,549,68.3,7252,3197,147,183,80.3,178,230,77.4,47,121,38.8,1,0.7,0.7,0.3,7,33,7,6,37,DF,25-29,Defender,Morocco,Africa
1695,Roberto Massimo,GER,Stuttgart,Bundesliga,2021,20.0,2000.0,9.7,222,295,75.3,3115,710,134,155,86.5,66,81,81.5,10,24,41.7,0,1.3,1.3,-1.3,12,9,6,3,11,"DF,FW",20-24,Defender,Germany,Europe
1699,Pape Matar Sarr,SEN,Metz,Ligue 1,2021,18.0,2002.0,23.7,838,1013,82.7,14714,3826,384,451,85.1,335,372,90.1,90,137,65.7,3,1.5,1.2,1.5,20,90,10,0,115,MF,Under 20,Midfielder,Senegal,Africa
1700,Eliot Matazo,BEL,Monaco,Ligue 1,2021,19.0,2002.0,8.8,341,394,86.5,5732,1294,157,172,91.3,156,171,91.2,24,36,66.7,0,0.1,0.3,-0.1,4,34,4,0,46,MF,Under 20,Midfielder,Belgium,Europe
1702,Jean-Philippe Mateta,FRA,Crystal Palace,Premier League,2021,24.0,1997.0,12.7,158,238,66.4,1749,253,106,142,74.6,29,44,65.9,2,7,28.6,1,1.3,0.6,-0.3,7,4,3,1,6,FW,20-24,Forward,France,Europe
1705,Chrislain Matsima,FRA,Monaco,Ligue 1,2021,19.0,2002.0,1.5,74,88,84.1,1347,502,25,31,80.6,42,46,91.3,5,7,71.4,0,0.0,0.0,0.0,0,3,0,0,3,DF,Under 20,Defender,France,Europe
1706,Azor Matusiwa,NED,Reims,Ligue 1,2021,23.0,1998.0,27.4,985,1185,83.1,18257,5165,438,504,86.9,393,454,86.6,138,176,78.4,1,0.8,0.6,0.2,16,110,9,1,132,MF,20-24,Midfielder,Netherlands,Europe
1707,Neal Maupay,FRA,Brighton,Premier League,2021,24.0,1996.0,25.3,479,622,77.0,6208,920,279,326,85.6,144,174,82.8,11,19,57.9,2,2.4,2.0,-0.4,23,20,25,2,48,FW,20-24,Forward,France,Europe
1708,Stephy Mavididi,ENG,Montpellier,Ligue 1,2021,23.0,1998.0,25.5,434,558,77.8,5450,1102,251,301,83.4,114,143,79.7,15,25,60.0,3,3.3,2.2,-0.3,23,17,16,5,34,"FW,MF",20-24,Forward,England,Europe
1709,Konstantinos Mavropanos,GRE,Stuttgart,Bundesliga,2021,23.0,1997.0,30.1,1493,1859,80.3,30155,12003,568,645,88.1,670,777,86.2,235,373,63.0,0,0.4,0.8,-0.4,10,109,7,1,124,DF,20-24,Defender,Greece,Europe
1711,Luís Maximiano,POR,Granada,La Liga,2021,22.0,1999.0,34.8,641,1177,54.5,22171,18032,89,89,100.0,250,258,96.9,301,826,36.4,0,0.0,0.1,0.0,0,33,1,0,1,GK,20-24,Goalkeeper,Portugal,Europe
1715,Pasquale Mazzocchi,ITA,Venezia,Serie A,2021,26.0,1995.0,13.8,446,596,74.8,7334,2607,241,272,88.6,154,211,73.0,43,80,53.8,0,0.4,0.5,-0.4,5,26,7,3,33,DF,25-29,Defender,Italy,Europe
1716,Pasquale Mazzocchi,ITA,Salernitana,Serie A,2021,26.0,1995.0,14.1,416,579,71.8,7213,2846,199,231,86.1,164,220,74.5,43,100,43.0,2,1.6,1.4,0.4,18,24,17,12,40,DF,25-29,Defender,Italy,Europe
1718,Kylian Mbappé,FRA,Paris S-G,Ligue 1,2021,22.0,1998.0,33.6,1139,1435,79.4,15413,2996,715,821,87.1,276,348,79.3,60,101,59.4,17,12.6,9.1,4.4,70,75,58,9,107,FW,20-24,Forward,France,Europe
1719,Ibrahima Mbaye,SEN,Bologna,Serie A,2021,26.0,1994.0,1.2,34,52,65.4,381,230,27,33,81.8,6,15,40.0,0,2,0.0,0,0.0,0.0,0.0,0,2,0,0,2,DF,25-29,Defender,Senegal,Africa
1721,Bryan Mbeumo,CMR,Brentford,Premier League,2021,21.0,1999.0,32.3,527,817,64.5,7739,1649,315,409,77.0,149,229,65.1,38,81,46.9,7,3.7,3.3,3.3,34,33,28,7,56,FW,20-24,Forward,Cameroon,Africa
1722,Jason Mbock,FRA,Angers,Ligue 1,2021,21.0,1999.0,0.2,3,5,60.0,32,0,3,4,75.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,FW,20-24,Forward,France,Europe
1726,James McArthur,SCO,Crystal Palace,Premier League,2021,33.0,1987.0,16.0,773,940,82.2,13033,3152,357,397,89.9,330,366,90.2,61,114,53.5,3,1.4,1.0,1.6,16,64,19,4,84,MF,30-34,Midfielder,Scotland,Europe
1728,Kasey McAteer,IRL,Leicester City,Premier League,2021,19.0,2001.0,0.0,1,1,100.0,5,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,FW,Under 20,Forward,Republic of Ireland,Europe
1729,Liam McCarron,SCO,Leeds United,Premier League,2021,20.0,2001.0,0.1,2,2,100.0,42,0,1,1,100.0,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,FW,20-24,Forward,Scotland,Europe
1730,Alex McCarthy,ENG,Southampton,Premier League,2021,31.0,1989.0,17.0,318,508,62.6,8708,6548,79,79,100.0,139,141,98.6,97,283,34.3,0,0.0,0.0,0.0,1,9,0,0,0,GK,30-34,Goalkeeper,England,Europe
1731,John McGinn,SCO,Aston Villa,Premier League,2021,26.0,1994.0,34.3,1023,1365,74.9,20891,8296,394,464,84.9,416,515,80.8,187,318,58.8,4,5.3,5.3,-1.3,51,163,48,12,196,MF,25-29,Midfielder,Scotland,Europe
1732,Weston McKennie,USA,Juventus,Serie A,2021,22.0,1998.0,15.2,424,565,75.0,6664,1916,231,281,82.2,139,182,76.4,37,53,69.8,0,1.2,0.9,-1.2,20,39,11,2,51,MF,20-24,Midfielder,United States,North America
1734,Kenny McLean,SCO,Norwich City,Premier League,2021,29.0,1992.0,30.1,786,1090,72.1,13086,4130,390,488,79.9,301,386,78.0,71,143,49.7,0,0.8,1.0,-0.8,10,73,21,0,99,MF,25-29,Midfielder,Scotland,Europe
1735,Dwight McNeil,ENG,Burnley,Premier League,2021,21.0,1999.0,34.5,782,1154,67.8,14022,4010,377,434,86.9,265,358,74.0,112,245,45.7,1,4.6,5.3,-3.6,47,67,43,21,104,MF,20-24,Midfielder,England,Europe
1736,Scott McTominay,SCO,Manchester Utd,Premier League,2021,24.0,1996.0,26.5,1060,1254,84.5,18096,5343,492,561,87.7,427,482,88.6,108,134,80.6,1,1.5,2.0,-0.5,23,113,9,2,125,MF,20-24,Midfielder,Scotland,Europe
1737,Gary Medel,CHI,Bologna,Serie A,2021,33.0,1987.0,31.4,1508,1696,88.9,30848,12958,492,520,94.6,756,802,94.3,245,335,73.1,1,0.3,0.7,0.7,3,73,6,0,73,DF,30-34,Defender,Chile,South America
1738,Facundo Medina,ARG,Lens,Ligue 1,2021,22.0,1999.0,28.8,2018,2262,89.2,34890,14518,931,991,93.9,848,920,92.2,185,259,71.4,0,0.2,0.7,-0.2,5,166,6,0,201,DF,20-24,Defender,Argentina,South America
1739,Nathan de Medina,BEL,Arminia,Bundesliga,2021,23.0,1997.0,8.6,219,314,69.7,3880,1429,88,103,85.4,117,153,76.5,12,37,32.4,0,0.0,0.1,0.0,0,8,1,1,11,DF,20-24,Defender,Belgium,Europe
1740,Ben Mee,ENG,Burnley,Premier League,2021,31.0,1989.0,20.4,535,763,70.1,11809,4762,175,215,81.4,245,301,81.4,111,218,50.9,0,1.0,0.1,-1.0,5,51,2,1,38,DF,30-34,Defender,England,Europe
1743,Farid El Melali,ALG,Angers,Ligue 1,2021,24.0,1997.0,0.2,2,4,50.0,26,0,1,1,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,FW,20-24,Forward,Algeria,Africa
1744,Filippo Melegoni,ITA,Genoa,Serie A,2021,22.0,1999.0,10.9,234,347,67.4,3325,1086,133,168,79.2,73,104,70.2,14,37,37.8,0,1.1,1.8,-1.1,15,14,11,3,27,"MF,FW",20-24,Midfielder,Italy,Europe
1748,Arthur Melo,BRA,Juventus,Serie A,2021,24.0,1996.0,10.7,626,700,89.4,11432,3015,247,272,90.8,291,308,94.5,71,81,87.7,0,0.3,0.4,-0.3,6,64,5,0,58,MF,20-24,Midfielder,Brazil,South America
1750,Houboulang Mendes,GNB,Lorient,Ligue 1,2021,23.0,1998.0,35.8,1174,1446,81.2,20102,6588,518,573,90.4,526,621,84.7,94,190,49.5,1,1.6,1.0,-0.6,13,57,12,11,78,DF,20-24,Defender,Guinea-Bissau,Africa
1751,Nuno Mendes,POR,Paris S-G,Ligue 1,2021,19.0,2002.0,18.4,980,1131,86.6,14433,3632,577,621,92.9,312,358,87.2,53,74,71.6,1,2.8,2.2,-1.8,19,59,12,4,53,DF,Under 20,Defender,Portugal,Europe
1753,Thiago Mendes,BRA,Lyon,Ligue 1,2021,29.0,1992.0,20.7,1374,1564,87.9,25918,8629,578,622,92.9,594,639,93.0,176,255,69.0,1,1.4,1.6,-0.4,15,136,10,1,112,"MF,DF",25-29,Midfielder,Brazil,South America
1757,Arial Mendy,SEN,Clermont Foot,Ligue 1,2021,26.0,1994.0,8.8,315,404,78.0,4937,1506,170,189,89.9,108,137,78.8,26,45,57.8,0,1.7,1.5,-1.7,9,20,7,5,26,"DF,FW",25-29,Defender,Senegal,Africa
1759,Benjamin Mendy,FRA,Manchester City,Premier League,2021,27.0,1994.0,0.9,80,94,85.1,1225,387,42,46,91.3,33,35,94.3,3,7,42.9,0,0.1,0.1,-0.1,2,9,1,1,9,DF,25-29,Defender,France,Europe
1760,Edouard Mendy,SEN,Chelsea,Premier League,2021,29.0,1992.0,34.0,811,957,84.7,17070,11353,282,284,99.3,333,344,96.8,157,288,54.5,0,0.0,0.0,0.0,0,5,0,0,0,GK,25-29,Goalkeeper,Senegal,Africa
1761,Ferland Mendy,FRA,Real Madrid,La Liga,2021,26.0,1995.0,19.3,1226,1351,90.7,16815,4718,757,797,95.0,367,399,92.0,47,63,74.6,1,1.4,2.3,-0.4,19,85,14,1,99,DF,25-29,Defender,France,Europe
1762,Nampalys Mendy,SEN,Leicester City,Premier League,2021,29.0,1992.0,11.5,593,645,91.9,9282,1636,304,323,94.1,233,247,94.3,35,43,81.4,0,0.0,0.1,0.0,1,39,0,0,36,MF,25-29,Midfielder,Senegal,Africa
1763,Gideon Mensah,GHA,Bordeaux,Ligue 1,2021,23.0,1998.0,13.4,638,790,80.8,10150,3259,322,356,90.4,266,328,81.1,32,59,54.2,2,1.8,1.9,0.2,16,39,15,10,62,DF,20-24,Defender,Ghana,Africa
1765,Alex Meret,ITA,Napoli,Serie A,2021,24.0,1997.0,6.9,176,197,89.3,4020,2763,51,51,100.0,75,76,98.7,49,67,73.1,0,0.0,0.0,0.0,0,0,0,0,0,GK,20-24,Goalkeeper,Italy,Europe
1768,Quentin Merlin,FRA,Nantes,Ligue 1,2021,19.0,2002.0,21.4,1027,1358,75.6,17991,7101,494,561,88.1,402,514,78.2,115,229,50.2,3,2.7,3.7,0.3,31,114,25,13,132,"DF,MF",Under 20,Defender,France,Europe
1772,Illan Meslier,FRA,Leeds United,Premier League,2021,21.0,2000.0,37.6,1037,1392,74.5,24030,14107,249,253,98.4,558,571,97.7,227,560,40.5,0,0.0,0.0,0.0,0,3,0,0,0,GK,20-24,Goalkeeper,France,Europe
1773,Lionel Messi,ARG,Paris S-G,Ligue 1,2021,34.0,1987.0,23.9,1400,1657,84.5,21648,7365,762,844,90.3,450,512,87.9,113,154,73.4,14,8.8,9.0,5.2,63,217,82,3,291,"FW,MF",30-34,Forward,Argentina,South America
1774,Junior Messias,BRA,Milan,Serie A,2021,30.0,1991.0,15.9,364,544,66.9,5269,1431,217,276,78.6,113,177,63.8,20,53,37.7,2,1.8,2.2,0.2,21,27,22,4,45,"FW,MF",30-34,Forward,Brazil,South America
1775,Thomas Meunier,BEL,Dortmund,Bundesliga,2021,29.0,1991.0,15.6,897,1155,77.7,14520,5543,443,498,89.0,354,453,78.1,70,130,53.8,4,3.1,2.9,0.9,15,62,25,15,83,DF,25-29,Defender,Belgium,Europe
1777,Marco Meyerhöfer,GER,Greuther Fürth,Bundesliga,2021,25.0,1995.0,25.3,878,1200,73.2,13765,6400,477,534,89.3,315,438,71.9,65,143,45.5,0,0.8,0.9,-0.8,18,72,7,3,87,DF,25-29,Defender,Germany,Europe
1778,Matt Miazga,USA,Alavés,La Liga,2021,26.0,1995.0,9.3,244,321,76.0,5215,2078,72,90,80.0,131,155,84.5,39,70,55.7,0,0.2,0.0,-0.2,2,4,0,0,10,DF,25-29,Defender,United States,North America
1779,Kingsley Michael,NGA,Bologna,Serie A,2021,21.0,1999.0,0.8,23,26,88.5,371,77,12,13,92.3,9,10,90.0,2,3,66.7,0,0.0,0.0,0.0,0,3,0,0,2,MF,20-24,Midfielder,Nigeria,Africa
1780,Sven Michel,GER,Union Berlin,Bundesliga,2021,31.0,1990.0,3.8,66,115,57.4,876,178,36,56,64.3,15,31,48.4,5,8,62.5,1,0.9,0.8,0.1,5,4,3,2,7,FW,30-34,Forward,Germany,Europe
1784,Mikael,BRA,Salernitana,Serie A,2021,22.0,1999.0,1.0,10,18,55.6,124,13,7,11,63.6,1,3,33.3,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,"FW,MF",20-24,Forward,Brazil,South America
1786,Georges Mikautadze,GEO,Metz,Ligue 1,2021,20.0,2000.0,0.0,0,2,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,FW,20-24,Forward,Georgia,Asia
1787,William Mikelbrencis,FRA,Metz,Ligue 1,2021,17.0,2004.0,6.8,224,311,72.0,3695,1587,112,131,85.5,86,115,74.8,18,44,40.9,1,0.2,0.3,0.8,3,18,3,2,21,DF,Under 20,Defender,France,Europe
1792,Éder Militão,BRA,Real Madrid,La Liga,2021,23.0,1998.0,33.7,1801,2037,88.4,34764,12063,650,688,94.5,893,953,93.7,220,314,70.1,2,1.1,1.5,0.9,12,137,5,1,102,DF,20-24,Defender,Brazil,South America
1796,Enzo Millot,FRA,Stuttgart,Bundesliga,2021,19.0,2002.0,0.6,24,31,77.4,330,87,13,15,86.7,8,10,80.0,1,1,100.0,1,0.1,0.2,0.9,1,1,2,1,4,MF,Under 20,Midfielder,France,Europe
1797,James Milner,ENG,Liverpool,Premier League,2021,35.0,1986.0,9.5,646,777,83.1,11063,3500,301,327,92.0,264,312,84.6,62,95,65.3,1,2.2,1.5,-1.2,22,73,18,6,73,"MF,DF",35-39,Midfielder,England,Europe
1799,Yerry Mina,COL,Everton,Premier League,2021,26.0,1994.0,9.4,288,362,79.6,5565,1860,97,116,83.6,136,159,85.5,43,68,63.2,0,0.0,0.0,0.0,1,10,0,0,20,DF,25-29,Defender,Colombia,South America
1800,Takumi Minamino,JPN,Liverpool,Premier League,2021,26.0,1995.0,2.1,58,69,84.1,648,146,42,45,93.3,10,15,66.7,2,2,100.0,0,0.5,0.6,-0.5,2,6,3,0,5,"FW,MF",25-29,Forward,Japan,Asia
1801,Tyrone Mings,ENG,Aston Villa,Premier League,2021,28.0,1993.0,35.4,1336,1684,79.3,26051,10825,446,513,86.9,744,820,90.7,130,302,43.0,3,1.6,1.1,1.4,10,85,5,0,91,DF,25-29,Defender,England,Europe
1807,Fabio Miretti,ITA,Juventus,Serie A,2021,17.0,2003.0,3.6,117,145,80.7,2278,795,49,58,84.5,50,59,84.7,16,20,80.0,0,0.4,0.6,-0.4,5,13,3,0,18,MF,Under 20,Midfielder,Italy,Europe
1808,Tyrick Mitchell,ENG,Crystal Palace,Premier League,2021,21.0,1999.0,34.5,1393,1930,72.2,21564,10421,745,864,86.2,526,700,75.1,84,236,35.6,2,1.7,1.7,0.3,21,103,33,15,134,DF,20-24,Defender,England,Europe
1810,Maximilian Mittelstädt,GER,Hertha BSC,Bundesliga,2021,24.0,1997.0,16.6,526,780,67.4,8495,3835,287,348,82.5,179,257,69.6,48,122,39.3,5,2.9,3.0,2.1,22,45,18,9,65,"DF,FW",20-24,Defender,Germany,Europe
1811,Henrikh Mkhitaryan,ARM,Roma,Serie A,2021,32.0,1989.0,27.7,959,1168,82.1,15698,3871,484,546,88.6,355,419,84.7,85,114,74.6,6,5.1,3.9,0.9,41,87,38,6,149,"MF,FW",30-34,Midfielder,Armenia,Asia
1813,Anthony Modeste,FRA,Köln,Bundesliga,2021,33.0,1988.0,29.0,289,450,64.2,4169,575,162,225,72.0,88,137,64.2,18,35,51.4,4,2.9,2.3,1.1,20,18,9,1,29,FW,30-34,Forward,France,Europe
1814,Marco Modolo,ITA,Venezia,Serie A,2021,32.0,1989.0,4.4,130,161,80.7,2823,957,26,32,81.3,83,92,90.2,19,32,59.4,0,0.0,0.0,0.0,0,3,0,0,4,DF,30-34,Defender,Italy,Europe
1816,Terem Moffi,NGA,Lorient,Ligue 1,2021,22.0,1999.0,30.1,413,567,72.8,5750,1155,237,297,79.8,112,157,71.3,26,39,66.7,4,3.9,3.5,0.1,34,33,14,3,47,FW,20-24,Forward,Nigeria,Africa
1819,Johan Mojica,COL,Elche,La Liga,2021,28.0,1992.0,31.7,1400,1863,75.1,23024,10026,784,862,91.0,424,549,77.2,144,308,46.8,5,5.3,4.6,-0.3,29,95,45,27,128,DF,25-29,Defender,Colombia,South America
1820,Clinton Mola,ENG,Stuttgart,Bundesliga,2021,20.0,2001.0,1.3,110,124,88.7,2032,575,39,45,86.7,63,69,91.3,7,9,77.8,0,0.0,0.0,0.0,0,6,0,0,6,DF,20-24,Defender,England,Europe
1822,Nahuel Molina,ARG,Udinese,Serie A,2021,23.0,1998.0,29.3,860,1228,70.0,13692,5664,478,562,85.1,280,401,69.8,77,179,43.0,2,3.7,3.6,-1.7,39,78,51,27,100,DF,20-24,Defender,Argentina,South America
1823,Cristian Molinaro,ITA,Venezia,Serie A,2021,38.0,1983.0,6.1,243,325,74.8,4271,2040,108,124,87.1,108,135,80.0,23,56,41.1,1,0.5,0.3,0.5,5,18,5,4,34,DF,35-39,Defender,Italy,Europe
1824,Florent Mollet,FRA,Montpellier,Ligue 1,2021,29.0,1991.0,29.2,951,1179,80.7,14429,3715,529,570,92.8,284,355,80.0,79,146,54.1,2,2.7,2.8,-0.7,32,82,24,4,114,"FW,MF",25-29,Forward,France,Europe
1827,Thomas Monconduit,FRA,Lorient,Ligue 1,2021,30.0,1991.0,25.0,997,1280,77.9,19587,6844,390,468,83.3,425,514,82.7,158,232,68.1,2,3.3,2.2,-1.3,32,139,19,4,160,MF,30-34,Midfielder,France,Europe
1828,Gonzalo Montiel,ARG,Sevilla,La Liga,2021,24.0,1997.0,11.8,524,684,76.6,8418,2766,257,297,86.5,223,271,82.3,30,69,43.5,2,1.9,1.1,0.1,11,33,11,5,43,DF,20-24,Defender,Argentina,South America
1829,Lorenzo Montipò,ITA,Hellas Verona,Serie A,2021,25.0,1996.0,34.0,539,973,55.4,18345,14461,74,74,100.0,197,203,97.0,263,682,38.6,0,0.0,0.1,0.0,0,22,0,0,0,GK,25-29,Goalkeeper,Italy,Europe
1832,Wesley Moraes,BRA,Aston Villa,Premier League,2021,24.0,1996.0,0.0,2,2,100.0,8,4,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,FW,20-24,Forward,Brazil,South America
1836,Jérémy Morel,MAD,Lorient,Ligue 1,2021,37.0,1984.0,6.7,248,296,83.8,4826,1777,92,99,92.9,121,137,88.3,32,52,61.5,0,0.1,0.0,-0.1,1,14,0,0,8,DF,35-39,Defender,Madagascar,Africa
