rk,player,nation,squad,comp,season,age,born,ninety_mins_played,yellow_cards,red_cards,second_yellow_cards,fouls,fouls_drawn,offsides,crosses,interceptions,tackles_won,penalties_won,penalties_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,position,age_range,general_position,country,continent
1388,Lukas Klünter,GER,Hertha BSC,Bundesliga,2021,25.0,1996.0,2.2,1,0,0,5,2,0,4,2,1,0,0,0,12,2,2,50.0,DF,25-29,Defender,Germany,Europe
1389,Ansgar Knauff,GER,Dortmund,Bundesliga,2021,19.0,2002.0,1.3,0,0,0,4,1,1,0,0,1,0,0,0,3,3,2,60.0,"FW,MF",Under 20,Forward,Germany,Europe
1390,Ansgar Knauff,GER,Eint Frankfurt,Bundesliga,2021,19.0,2002.0,8.4,0,0,0,11,8,1,21,8,14,0,0,0,45,7,17,29.2,"DF,MF",Under 20,Defender,Germany,Europe
1391,Robin Knoche,GER,Union Berlin,Bundesliga,2021,29.0,1992.0,33.0,6,0,0,26,13,1,0,49,24,0,0,0,247,63,55,53.4,DF,25-29,Defender,Germany,Europe
1392,Gregor Kobel,SUI,Dortmund,Bundesliga,2021,23.0,1997.0,28.5,0,0,0,1,6,0,0,1,0,0,1,0,71,3,0,100.0,GK,20-24,Goalkeeper,Switzerland,Europe
1393,Robin Koch,GER,Leeds United,Premier League,2021,25.0,1996.0,17.5,3,0,0,22,10,0,4,20,13,0,0,0,104,45,44,50.6,"MF,DF",25-29,Midfielder,Germany,Europe
1396,Dominik Kohr,GER,Mainz 05,Bundesliga,2021,27.0,1994.0,17.9,10,2,2,46,20,0,2,35,20,0,0,0,149,26,18,59.1,MF,25-29,Midfielder,Germany,Europe
1399,Aleksandr Kokorin,RUS,Fiorentina,Serie A,2021,30.0,1991.0,0.6,1,0,0,2,2,0,0,0,1,0,0,0,1,5,5,50.0,"FW,MF",30-34,Forward,Russia,Europe
1404,Randal Kolo Muani,FRA,Nantes,Ligue 1,2021,22.0,1998.0,32.8,2,0,0,59,72,18,31,6,14,1,1,0,107,66,110,37.5,"FW,MF",20-24,Forward,France,Europe
1405,Timothée Kolodziejczak,FRA,Saint-Étienne,Ligue 1,2021,29.0,1991.0,28.5,4,1,0,29,3,2,38,60,24,0,3,2,148,31,38,44.9,DF,25-29,Defender,France,Europe
1406,Ghislain Konan,CIV,Reims,Ligue 1,2021,25.0,1995.0,26.9,1,0,0,17,33,2,84,28,19,0,0,0,176,13,11,54.2,DF,25-29,Defender,Ivory Coast,Africa
1407,Ibrahima Konaté,FRA,Liverpool,Premier League,2021,22.0,1999.0,11.0,2,0,0,10,3,0,0,16,10,0,0,0,64,34,19,64.2,DF,20-24,Defender,France,Europe
1408,Geoffrey Kondogbia,CTA,Atlético Madrid,La Liga,2021,28.0,1993.0,20.9,13,2,2,40,37,0,1,44,44,0,0,0,188,38,21,64.4,"MF,DF",25-29,Midfielder,Central African Republic,Africa
1410,Manu Koné,FRA,Gladbach,Bundesliga,2021,20.0,2001.0,24.3,10,0,0,39,60,1,2,34,37,1,0,0,147,20,20,50.0,MF,20-24,Midfielder,France,Europe
1412,Ezri Konsa,ENG,Aston Villa,Premier League,2021,23.0,1997.0,27.5,6,2,1,18,36,1,1,15,15,0,1,0,105,58,42,58.0,DF,20-24,Defender,England,Europe
1413,Teun Koopmeiners,NED,Atalanta,Serie A,2021,23.0,1998.0,23.6,4,0,0,37,21,6,97,15,24,0,0,1,158,27,20,57.4,MF,20-24,Midfielder,Netherlands,Europe
