rk,player,nation,squad,comp,season,age,born,ninety_mins_played,tackles,tackles_won,def_third_tackles,mid_third_tackles,att_third_tackles,dribblers_tackled,dribblers_challenged,tackle_pct,challenges_lost,blocks,shots_blocked,passes_blocked,interceptions,tackles_interceptions,clearances,errors,position,age_range,general_position,country,continent
131,Maximilian Arnold,GER,Wolfsburg,Bundesliga,2020,26.0,1994.0,28.7,47,32,20,26,1,18,49,36.7,31,24,3,21,49,96,57,0,MF,25-29,Midfielder,Germany,Europe
135,Tolgay Arslan,GER,Udinese,Serie A,2020,29.0,1990.0,20.2,52,32,24,24,4,25,54,46.3,29,22,2,20,22,74,15,1,MF,25-29,Midfielder,Germany,Europe
136,Kwadwo Asamoah,GHA,Cagliari,Serie A,2020,31.0,1988.0,2.5,4,3,2,2,0,2,3,66.7,1,5,1,4,4,8,2,1,"DF,MF",30-34,Defender,Ghana,Africa
137,Santiago Ascacíbar,ARG,Hertha BSC,Bundesliga,2020,23.0,1997.0,8.5,30,15,15,14,1,15,28,53.6,13,23,2,21,13,43,14,0,MF,20-24,Midfielder,Argentina,South America
142,Roger Assalé,CIV,Dijon,Ligue 1,2020,26.0,1993.0,9.2,10,8,3,5,2,4,12,33.3,8,7,3,4,2,12,2,0,"FW,MF",25-29,Forward,Ivory Coast,Africa
145,Pierre-Emerick Aubameyang,GAB,Arsenal,Premier League,2020,31.0,1989.0,25.9,12,8,7,4,1,3,20,15.0,17,18,0,18,7,19,17,0,FW,30-34,Forward,Gabon,Africa
146,Emil Audero,ITA,Sampdoria,Serie A,2020,23.0,1997.0,37.0,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,16,0,GK,20-24,Goalkeeper,Italy,Europe
147,Tommaso Augello,ITA,Sampdoria,Serie A,2020,25.0,1994.0,35.7,42,30,27,10,5,23,39,59.0,16,22,2,20,32,74,76,1,DF,25-29,Defender,Italy,Europe
148,Jean-Kévin Augustin,FRA,Nantes,Ligue 1,2020,23.0,1997.0,0.4,2,0,0,2,0,2,2,100.0,0,0,0,0,0,2,0,0,FW,20-24,Forward,France,Europe
150,Serge Aurier,CIV,Tottenham,Premier League,2020,27.0,1992.0,17.8,55,33,33,17,5,15,40,37.5,25,28,5,23,19,74,44,3,DF,25-29,Defender,Ivory Coast,Africa
151,Charlie Austin,ENG,West Brom,Premier League,2020,31.0,1989.0,1.5,4,2,1,2,1,1,3,33.3,2,0,0,0,3,7,4,0,"FW,MF",30-34,Forward,England,Europe
153,Taiwo Awoniyi,NGA,Union Berlin,Bundesliga,2020,22.0,1997.0,15.1,5,3,2,3,0,1,14,7.1,13,9,0,9,3,8,4,0,FW,20-24,Forward,Nigeria,Africa
155,Jordan Ayew,GHA,Crystal Palace,Premier League,2020,28.0,1991.0,23.3,38,26,8,16,14,16,44,36.4,28,28,2,26,16,54,12,0,"FW,MF",25-29,Forward,Ghana,Africa
157,Luke Ayling,ENG,Leeds United,Premier League,2020,28.0,1991.0,37.8,108,61,69,30,9,49,87,56.3,38,53,36,17,36,144,96,5,DF,25-29,Defender,England,Europe
158,Ramon Azeez,NGA,Granada,La Liga,2020,27.0,1992.0,1.1,1,1,0,1,0,0,0,,0,0,0,0,1,2,1,0,MF,25-29,Midfielder,Nigeria,Africa
161,Carlos Bacca,COL,Villarreal,La Liga,2020,33.0,1986.0,8.7,9,5,5,3,1,3,5,60.0,2,5,0,5,3,12,2,0,FW,30-34,Forward,Colombia,South America
163,Milan Badelj,CRO,Genoa,Serie A,2020,31.0,1989.0,26.8,56,27,27,22,7,26,84,31.0,58,51,10,41,87,143,45,1,MF,30-34,Midfielder,Croatia,Europe
165,Benoît Badiashile,FRA,Monaco,Ligue 1,2020,19.0,2001.0,31.9,24,17,15,9,0,13,28,46.4,15,21,12,9,58,82,102,4,DF,Under 20,Defender,France,Europe
169,Leon Bailey,JAM,Leverkusen,Bundesliga,2020,22.0,1997.0,23.8,14,8,3,7,4,4,15,26.7,11,13,0,13,9,23,3,0,"FW,MF",20-24,Forward,Jamaica,North America
170,Eric Bailly,CIV,Manchester Utd,Premier League,2020,26.0,1994.0,10.2,5,5,3,1,1,0,1,0.0,1,13,11,2,13,18,36,2,DF,25-29,Defender,Ivory Coast,Africa
171,Stefan Bajic,FRA,Saint-Étienne,Ligue 1,2020,18.0,2001.0,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,GK,Under 20,Goalkeeper,France,Europe
173,Mitchel Bakker,NED,Paris S-G,Ligue 1,2020,20.0,2000.0,18.8,38,30,15,14,9,17,26,65.4,9,22,2,20,22,60,20,0,DF,20-24,Defender,Netherlands,Europe
174,Ridle Baku,GER,Wolfsburg,Bundesliga,2020,22.0,1998.0,29.8,50,31,20,20,10,22,53,41.5,31,54,4,50,40,90,33,1,"FW,DF",20-24,Forward,Germany,Europe
175,Ridle Baku,GER,Mainz 05,Bundesliga,2020,22.0,1998.0,2.0,4,2,3,1,0,2,6,33.3,4,3,1,2,3,7,6,0,DF,20-24,Defender,Germany,Europe
176,Dilane Bakwa,FRA,Bordeaux,Ligue 1,2020,17.0,2002.0,0.6,2,2,1,1,0,0,1,0.0,1,2,0,2,1,3,0,0,"FW,MF",Under 20,Forward,France,Europe
178,Keita Baldé,SEN,Sampdoria,Serie A,2020,25.0,1995.0,13.3,9,6,2,6,1,4,10,40.0,6,10,1,9,0,9,3,0,FW,25-29,Forward,Senegal,Africa
179,George Baldock,GRE,Sheffield Utd,Premier League,2020,27.0,1993.0,31.0,47,34,28,14,5,21,50,42.0,29,26,7,19,25,72,70,1,DF,25-29,Defender,Greece,Europe
180,Gareth Bale,WAL,Tottenham,Premier League,2020,31.0,1989.0,10.2,17,10,4,9,4,7,14,50.0,7,13,2,11,8,25,16,0,FW,30-34,Forward,Wales,Europe
182,Leonardo Balerdi,ARG,Marseille,Ligue 1,2020,21.0,1999.0,18.2,29,18,19,7,3,14,31,45.2,17,17,9,8,28,57,65,3,DF,20-24,Defender,Argentina,South America
183,Fodé Ballo-Touré,SEN,Monaco,Ligue 1,2020,23.0,1997.0,7.4,21,17,9,11,1,6,13,46.2,7,7,0,7,6,27,11,1,DF,20-24,Defender,Senegal,Africa
184,Botond Balogh,HUN,Parma,Serie A,2020,18.0,2002.0,1.8,9,7,9,0,0,2,5,40.0,3,4,3,1,2,11,8,0,DF,Under 20,Defender,Hungary,Europe
185,Abdoulaye Bamba,CIV,Angers,Ligue 1,2020,30.0,1990.0,15.0,27,17,19,7,1,19,28,67.9,9,7,1,6,19,46,34,0,DF,30-34,Defender,Ivory Coast,Africa
186,Jonathan Bamba,CIV,Lille,Ligue 1,2020,24.0,1996.0,33.2,45,23,15,19,11,24,84,28.6,60,24,2,22,24,69,15,0,MF,20-24,Midfielder,Ivory Coast,Africa
188,Patrick Bamford,ENG,Leeds United,Premier League,2020,26.0,1993.0,33.9,21,9,2,11,8,8,27,29.6,19,14,4,10,10,31,37,0,FW,25-29,Forward,England,Europe
189,Mattia Bani,ITA,Genoa,Serie A,2020,26.0,1993.0,10.2,10,5,5,5,0,5,12,41.7,7,16,11,5,27,37,44,0,DF,25-29,Defender,Italy,Europe
190,Mattia Bani,ITA,Parma,Serie A,2020,26.0,1993.0,12.7,20,11,15,4,1,4,8,50.0,4,10,6,4,33,53,50,0,DF,25-29,Defender,Italy,Europe
193,Federico Barba,ITA,Benevento,Serie A,2020,26.0,1993.0,29.5,31,16,22,8,1,21,35,60.0,14,39,18,21,48,79,94,4,DF,25-29,Defender,Italy,Europe
194,Danilo Barbosa,BRA,Nice,Ligue 1,2020,24.0,1996.0,2.8,6,3,5,1,0,4,6,66.7,2,2,1,1,2,8,11,2,DF,20-24,Defender,Brazil,South America
196,Melvin Bard,FRA,Lyon,Ligue 1,2020,19.0,2000.0,4.8,12,8,7,4,1,6,11,54.5,5,10,2,8,6,18,14,0,DF,Under 20,Defender,France,Europe
198,Phil Bardsley,SCO,Burnley,Premier League,2020,35.0,1985.0,3.0,6,5,4,2,0,3,6,50.0,3,3,1,2,6,12,12,0,DF,35-39,Defender,Scotland,Europe
199,Nicolò Barella,ITA,Inter,Serie A,2020,23.0,1997.0,32.2,58,31,23,29,6,23,72,31.9,49,29,4,25,26,84,14,0,MF,20-24,Midfielder,Italy,Europe
200,Philipp Bargfrede,GER,Werder Bremen,Bundesliga,2020,31.0,1989.0,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,MF,30-34,Midfielder,Germany,Europe
202,Ross Barkley,ENG,Aston Villa,Premier League,2020,26.0,1993.0,17.0,6,2,2,4,0,3,15,20.0,12,9,1,8,5,11,6,1,MF,25-29,Midfielder,England,Europe
203,Ross Barkley,ENG,Chelsea,Premier League,2020,26.0,1993.0,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,"FW,MF",25-29,Forward,England,Europe
