player_id,Name,Height,Foot,Country_of_Birth,City_of_Birth,Continent_of_Birth
200056,Elseid Hysaj,182.0,right,Albania,Shkodr,Europe
200512,Sadio Mané,174.0,right,Senegal,Bambaly,Africa
201737,Christopher Jullien,196.0,right,France,Lagny-sur-Marne,Europe
202318,Farid Boulaya,180.0,right,France,Vitrolles,Europe
202591,Benjamin Henrichs,185.0,right,Germany,Bocholt,Europe
202886,Ruben Loftus-Cheek,191.0,right,England,London,Europe
202984,Roque Mesa,172.0,right,Spain,Telde,Europe
203026,Danny Ward,191.0,right,Wales,Wrexham,Europe
203043,Pedro Bigas,181.0,left,Spain,Palma de Mallorca,Europe
203123,Haris Tabakovic,194.0,right,Switzerland,Grenchen,Europe
203348,Chancel Mbemba,182.0,right,Zaire,Kinshasa,
203394,Andreas Pereira,178.0,right,Belgium,Duffel,Europe
203460,Jack Grealish,180.0,right,England,Birmingham,Europe
203496,Nabil Fekir,173.0,left,France,Lyon,Europe
203504,Pierre-Yves Hamel,189.0,right,France,Brest,Europe
203507,Adrien Hunou,179.0,right,France,vry,Europe
203517,Steven Moreira,180.0,right,France,Noisy-le-Grand,Europe
203746,Ruben Aguilar,172.0,right,France,Grenoble,Europe
203842,Viktor Kovalenko,182.0,right,Ukraine,Kherson,Europe
203853,Oleksandr Zinchenko,175.0,left,Ukraine,"Radomyshl, Zhytomyr Oblast",Europe
204103,Adama Traoré,178.0,right,Spain,L'Hospitalet de Llobregat,Europe
204294,Saman Ghoddos,175.0,right,Sweden,Malm,Europe
205022,Rafinha,166.0,both,Portugal,Paos de Ferreira,Europe
205054,Norbert Gyömbér,189.0,right,CSSR,Revca,
205503,Ibrahim Amadou,183.0,right,Cameroon,Douala,Africa
205562,Thomas Lemar,171.0,left,Guadeloupe,Baie-Mahault,
205587,Opa Nguette,182.0,right,France,Mantes-la-Jolie,Europe
205677,Luca Garritano,172.0,right,Italy,Cosenza,Europe
206050,Paulo Dybala,177.0,left,Argentina,Laguna Larga,South America
206225,Isaac Hayden,187.0,right,England,Chelmsford,Europe
206746,Kenny Tete,180.0,right,Netherlands,Amsterdam,Europe
206912,Jimmy Cabot,164.0,right,France,Chambry,Europe
207014,Will Hughes,185.0,left,England,Weybridge,Europe
207597,Cedric Teuchert,182.0,right,Germany,Coburg,Europe
207715,Ibrahima Mbaye,188.0,right,Senegal,Gudiawaye,Africa
207742,Tom Lockyer,185.0,right,Wales,Cardiff,Europe
207877,Ruslan Malinovskyi,181.0,left,Ukraine,Zhytomyr,Europe
207917,Alberto Moreno,171.0,left,Spain,Sevilla,Europe
207929,Dele Alli,188.0,right,England,Milton Keynes,Europe
208167,Dawid Kownacki,186.0,right,Poland,Gorzw Wielkopolski,Europe
209212,Solly March,180.0,left,England,Eastbourne,Europe
209781,Oumar Niasse,182.0,right,Senegal,Dakar,Africa
210143,Álex Gallar,178.0,left,Spain,Sabadell,Europe
210178,Pablo Marí,193.0,left,Spain,Almussafes,Europe
211072,Paulinho,188.0,left,Portugal,Barcelos,Europe
211251,Darwin Machís,171.0,right,Venezuela,Tucupita,South America
211389,Helibelton Palacios,181.0,right,Colombia,Santander de Quilichao,South America
211474,Ali Abdi,183.0,left,Tunisia,Sfax,Africa
212391,Roger Martí,179.0,right,Spain,Torrent,Europe
212723,Djibril Sow,184.0,right,Switzerland,Zrich,Europe
212804,Florian Tardieu,181.0,right,France,Istres,Europe
212829,Jack O'Connell,190.0,left,England,Liverpool,Europe
212847,Adam Webster,190.0,right,England,West Wittering,Europe
212923,Paulinho,166.0,left,Brazil,Ceilndia,South America
213260,Rubén García,172.0,left,Spain,Xtiva,Europe
213605,Vitinho,180.0,right,Brazil,Rio de Janeiro,South America
213614,Jhon Chancellor,194.0,right,Venezuela,Puerto Ordaz,South America
213670,Lucas Torró,190.0,right,Spain,Cocentaina,Europe
