player_id,market_value_in_eur,player,competition_name,season,squad,decade
87672,4500000,Junior Stanislas,Premier League,2018,Bournemouth,2010s
88590,28000000,Shkodran Mustafi,La Liga,2018,Arsenal,2010s
88755,110000000,Kevin De Bruyne,Premier League,2018,Manchester City,2010s
90836,7000000,Steve Cook,Premier League,2018,Bournemouth,2010s
91059,8000000,Joshua King,Ligue 1,2018,Bournemouth,2010s
91317,4000000,Ashley Westwood,Premier League,2018,Burnley,2010s
92572,5000000,Joel Ward,Premier League,2018,Crystal Palace,2010s
93720,55000000,Alexandre Lacazette,Ligue 1,2018,Arsenal,2010s
95424,40000000,Kyle Walker,Serie A,2018,Manchester City,2010s
95810,15000000,Kieran Trippier,Premier League,2018,Tottenham,2010s
96341,85000000,Romelu Lukaku,Serie A,2018,Manchester Utd,2010s
99343,30000000,Ander Herrera,La Liga,2018,Manchester Utd,2010s
101213,9000000,Pedro Obiang,Serie A,2018,West Ham,2010s
103427,18000000,Chris Smalling,Serie A,2018,Manchester Utd,2010s
108354,7000000,Jordan Ayew,Premier League,2018,Crystal Palace,2010s
108725,12000000,Chris Wood,Premier League,2018,Burnley,2010s
111455,35000000,Granit Xhaka,Bundesliga,2018,Arsenal,2010s
111508,4500000,Allan Nyom,La Liga,2018,Legans,2010s
117996,18000000,Phil Jones,Premier League,2018,Manchester Utd,2010s
119164,4500000,Ezequiel Schelotto,Premier League,2018,Chievo,2010s
119269,8000000,Shane Duffy,Premier League,2018,Brighton,2010s
119296,28000000,Emre Can,Bundesliga,2018,Juventus,2010s
122153,90000000,Paul Pogba,Serie A,2018,Manchester Utd,2010s
450826,10000000,Callum Wilson,Premier League,2018,Bournemouth,2010s
127032,20000000,Serge Aurier,Premier League,2018,Tottenham,2010s
127108,7000000,Florian Lejeune,La Liga,2018,Newcastle Utd,2010s
127187,12000000,Abdoulaye Doucouré,Premier League,2018,Watford,2010s
128900,5000000,Nathaniel Chalobah,Premier League,2018,Watford,2010s
129078,18000000,Nathan Redmond,Premier League,2018,Southampton,2010s
129627,12000000,Charlie Austin,Premier League,2018,Southampton,2010s
131978,25000000,Ross Barkley,Premier League,2018,Chelsea,2010s
132098,120000000,Harry Kane,Bundesliga,2018,Tottenham,2010s
134294,8000000,Danny Ings,Premier League,2018,Southampton,2010s
134425,80000000,Raheem Sterling,Premier League,2018,Manchester City,2010s
134936,7500000,Jesé,Serie A,2018,Betis,2010s
139208,50000000,Virgil van Dijk,Premier League,2018,Liverpool,2010s
141660,25000000,Jesse Lingard,Premier League,2018,Manchester Utd,2010s
808509,18000000,Danilo,Serie A,2018,Manchester City,2010s
146795,5000000,Ryan Fraser,Premier League,2018,Bournemouth,2010s
148153,7000000,Lewis Dunk,Premier League,2018,Brighton,2010s
148262,8000000,Jeff Hendrick,Premier League,2018,Burnley,2010s
148455,80000000,Mohamed Salah,Premier League,2018,Liverpool,2010s
157495,40000000,Benjamin Mendy,Ligue 1,2018,Manchester City,2010s
157509,15000000,Kurt Zouma,Premier League,2018,Everton,2010s
162029,5000000,Javier Manquillo,La Liga,2018,Newcastle Utd,2010s
163744,5000000,Jack Stephens,Premier League,2018,Southampton,2010s
170321,3500000,Paul Dummett,Premier League,2018,Newcastle Utd,2010s
173504,6000000,James Tarkowski,Premier League,2018,Burnley,2010s
173859,20000000,Davide Zappacosta,Serie A,2018,Chelsea,2010s
175722,40000000,Eric Dier,Bundesliga,2018,Tottenham,2010s
177476,15000000,Nathan Aké,Premier League,2018,Bournemouth,2010s
177907,15000000,Harry Maguire,Premier League,2018,Leicester City,2010s
181579,15000000,James Ward-Prowse,Premier League,2018,Southampton,2010s
183288,15000000,Luke Shaw,Premier League,2018,Manchester Utd,2010s
183318,7000000,Jamaal Lascelles,Premier League,2018,Newcastle Utd,2010s
184573,25000000,Victor Lindelöf,Premier League,2018,Manchester Utd,2010s
186590,40000000,John Stones,Premier League,2018,Manchester City,2010s
