player_id,player,nation,squad,comp,season,age,born,ninety_mins_played,passes_completed,passes_attempted,pass_completion_pct,total_pass_distance,progressive_pass_distance,short_passes_completed,short_passes_attempted,short_pass_completion_pct,medium_passes_completed,medium_passes_attempted,medium_pass_completion_pct,long_passes_completed,long_passes_attempted,long_pass_completion_pct,assists,xag,xa,assists_minus_xag,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,position,age_range,general_position,country,continent
587458,Kevin Agudelo,COL,Spezia,Serie A,2020,21.0,1998.0,15.1,228,328,69.5,3824,848,114,141,80.9,86,110,78.2,22,36,61.1,2,1.3,0.8,0.7,12,27,10,0,43,FW,20-24,Forward,Colombia,South America
361914,Nayef Aguerd,MAR,Rennes,Ligue 1,2020,24.0,1996.0,35.0,2449,2712,90.3,45688,18953,976,1021,95.6,1198,1282,93.4,251,365,68.8,1,0.7,0.7,0.3,5,126,1,0,136,DF,20-24,Defender,Morocco,Africa
26399,Sergio Agero,ARG,Manchester City,Premier League,2020,32.0,1988.0,6.2,140,173,80.9,1625,219,86,99,86.9,34,38,89.5,2,2,100.0,1,1.2,0.9,-0.2,7,12,5,1,12,FW,30-34,Forward,Argentina,South America
203746,Ruben Aguilar,FRA,Monaco,Ligue 1,2020,27.0,1993.0,24.7,1265,1568,80.7,19271,5384,721,779,92.6,420,535,78.5,87,166,52.4,3,4.7,5.8,-1.7,41,77,39,21,101,"DF,MF",25-29,Defender,France,Europe
236490,Ola Aina,NGA,Fulham,Premier League,2020,23.0,1996.0,29.6,1352,1769,76.4,22797,9159,642,717,89.5,565,704,80.3,112,257,43.6,1,1.5,1.2,-0.5,15,92,15,9,106,DF,20-24,Defender,Nigeria,Africa
251912,Semi Ajayi,NGA,West Brom,Premier League,2020,26.0,1993.0,30.9,719,999,72.0,13941,6401,264,316,83.5,374,460,81.3,76,188,40.4,0,0.5,0.3,-0.5,7,68,4,0,73,DF,25-29,Defender,Nigeria,Africa
283994,Ludovic Ajorque,FRA,Strasbourg,Ligue 1,2020,26.0,1994.0,33.0,620,927,66.9,9736,1641,350,484,72.3,192,262,73.3,51,78,65.4,4,3.9,3.8,0.1,36,43,19,3,61,FW,25-29,Forward,France,Europe
225015,Carlos Akapo,EQG,Cdiz,La Liga,2020,27.0,1993.0,9.6,229,356,64.3,3877,1740,100,126,79.4,104,156,66.7,17,54,31.5,0,0.2,0.3,-0.2,2,14,4,3,15,DF,25-29,Defender,Equatorial Guinea,Africa
177476,Nathan Ak,NED,Manchester City,Premier League,2020,25.0,1995.0,8.9,709,763,92.9,11178,3225,348,363,95.9,319,336,94.9,26,35,74.3,0,0.0,0.2,0.0,1,55,2,0,52,DF,25-29,Defender,Netherlands,Europe
160241,Kevin Akpoguma,NGA,Hoffenheim,Bundesliga,2020,25.0,1995.0,13.2,600,735,81.6,11026,4298,216,246,87.8,329,357,92.2,49,112,43.8,0,0.4,0.5,-0.4,2,33,4,1,56,DF,25-29,Defender,Nigeria,Africa
59016,David Alaba,AUT,Bayern Munich,Bundesliga,2020,28.0,1992.0,29.7,1929,2290,84.2,35563,12318,736,817,90.1,1003,1125,89.2,172,283,60.8,4,2.1,3.1,1.9,28,212,35,4,242,"DF,MF",25-29,Defender,Austria,Europe
