player_id,player,nation,squad,comp,season,age,born,ninety_mins_played,passes_attempted,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins,corner_kicks,inswinging_corners,outswinging_corners,straight_corners,passes_completed,passes_offside,passes_blocked,position,age_range,general_position,country,continent
84301,Benjamin Andr,FRA,Lille,Ligue 1,2019,28.0,1990.0,22.8,1236,1208,21,19,1,15,12,1,0,0,0,0,965,7,28,MF,25-29,Midfielder,France,Europe
55854,Cristian Ansaldi,ARG,Torino,Serie A,2019,32.0,1986.0,19.6,819,660,156,19,0,30,141,130,7,2,0,0,571,3,21,"DF,MF",30-34,Defender,Argentina,South America
289182,Christopher Antwi-Adjei,GHA,Paderborn 07,Bundesliga,2019,25.0,1994.0,27.4,854,703,145,6,1,9,69,107,31,14,5,0,593,6,35,"MF,FW",25-29,Midfielder,Ghana,Africa
395693,Houssem Aouar,ALG,Lyon,Ligue 1,2019,21.0,1998.0,21.7,1082,1030,51,21,5,7,24,5,9,4,4,0,910,1,16,"MF,FW",20-24,Midfielder,Algeria,Africa
89701,Charles Arnguiz,CHI,Leverkusen,Bundesliga,2019,30.0,1989.0,23.5,1628,1577,42,37,2,8,13,1,4,1,3,0,1385,9,21,MF,30-34,Midfielder,Chile,South America
435485,Luiz Arajo,BRA,Lille,Ligue 1,2019,23.0,1996.0,9.2,311,286,23,10,2,1,28,5,7,1,2,0,222,2,12,"FW,MF",20-24,Forward,Brazil,South America
120443,Santiago Arias,COL,Atltico Madrid,La Liga,2019,27.0,1992.0,12.0,647,534,110,0,0,2,24,110,0,0,0,0,482,3,11,DF,25-29,Defender,Colombia,South America
130765,Stuart Armstrong,SCO,Southampton,Premier League,2019,27.0,1992.0,19.1,616,594,21,0,2,0,23,13,0,0,0,0,464,1,30,MF,25-29,Midfielder,Scotland,Europe
63531,Kwadwo Asamoah,GHA,Inter,Serie A,2019,30.0,1988.0,7.1,372,326,46,3,0,0,18,43,0,0,0,0,298,0,13,"DF,FW",30-34,Defender,Ghana,Africa
263183,Roger Assal,CIV,Legans,La Liga,2019,25.0,1993.0,5.9,124,121,3,0,2,0,6,2,0,0,0,0,100,0,4,"FW,MF",25-29,Forward,Ivory Coast,Africa
58864,Pierre-Emerick Aubameyang,GAB,Arsenal,Premier League,2019,30.0,1989.0,34.8,912,881,28,0,7,1,89,3,1,0,0,0,614,3,32,FW,30-34,Forward,Gabon,Africa
264956,Jean-Kvin Augustin,FRA,Monaco,Ligue 1,2019,22.0,1997.0,3.0,40,39,1,0,0,1,0,0,0,0,0,0,33,0,0,FW,20-24,Forward,France,Europe
127032,Serge Aurier,CIV,Tottenham,Premier League,2019,26.0,1992.0,30.0,1676,1409,264,9,0,3,137,255,0,0,0,0,1263,3,51,DF,25-29,Defender,Ivory Coast,Africa
295313,Taiwo Awoniyi,NGA,Mainz 05,Bundesliga,2019,21.0,1997.0,5.4,109,105,4,0,1,0,9,1,0,0,0,0,73,0,6,"FW,MF",20-24,Forward,Nigeria,Africa
372713,Florian Ay,FRA,Brescia,Serie A,2019,22.0,1997.0,15.3,310,298,10,0,1,1,7,2,0,0,0,0,207,2,11,"FW,MF",20-24,Forward,France,Europe
108354,Jordan Ayew,GHA,Crystal Palace,Premier League,2019,27.0,1991.0,35.0,853,816,34,4,2,2,25,11,1,0,0,0,673,3,24,FW,25-29,Forward,Ghana,Africa
131667,Ramon Azeez,NGA,Granada,La Liga,2019,26.0,1992.0,15.1,388,368,18,4,0,2,7,13,0,0,0,0,303,2,10,MF,25-29,Midfielder,Nigeria,Africa
442805,Iddrisu Baba,GHA,Mallorca,La Liga,2019,23.0,1996.0,32.3,1276,1245,29,28,2,3,2,1,0,0,0,0,1029,2,26,MF,20-24,Midfielder,Ghana,Africa
119235,Carlos Bacca,COL,Villarreal,La Liga,2019,32.0,1986.0,7.6,134,124,10,0,0,0,3,0,0,0,0,0,99,0,5,FW,30-34,Forward,Colombia,South America
463603,Benot Badiashile,FRA,Monaco,Ligue 1,2019,18.0,2001.0,15.7,943,910,30,25,2,15,1,5,0,0,0,0,802,3,5,DF,Under 20,Defender,France,Europe
4018,Daniel Baier,GER,Augsburg,Bundesliga,2019,35.0,1984.0,21.6,897,859,32,27,1,6,5,5,0,0,0,0,667,6,19,MF,35-39,Midfielder,Germany,Europe
387626,Leon Bailey,JAM,Leverkusen,Bundesliga,2019,21.0,1997.0,12.1,479,435,44,10,1,5,78,11,23,13,7,1,316,0,18,"FW,MF",20-24,Forward,Jamaica,North America
198589,Lewis Baker,ENG,Dsseldorf,Bundesliga,2019,24.0,1995.0,6.1,222,213,7,5,0,7,4,0,2,0,2,0,182,2,6,MF,20-24,Midfielder,England,Europe
238752,Keita Bald,SEN,Monaco,Ligue 1,2019,24.0,1995.0,9.5,285,267,17,2,0,0,16,5,6,3,0,0,191,1,5,"FW,MF",20-24,Forward,Senegal,Africa
146690,George Baldock,GRE,Sheffield Utd,Premier League,2019,26.0,1993.0,38.0,1522,1241,276,5,0,1,128,271,0,0,0,0,1143,5,70,DF,25-29,Defender,Greece,Europe
39381,Gareth Bale,WAL,Real Madrid,La Liga,2019,30.0,1989.0,12.1,500,481,14,0,0,15,45,14,0,0,0,0,363,5,10,"FW,MF",30-34,Forward,Wales,Europe
296422,Fod Ballo-Tour,SEN,Monaco,Ligue 1,2019,22.0,1997.0,18.7,874,713,159,13,1,2,61,146,0,0,0,0,681,2,22,DF,20-24,Defender,Senegal,Africa
5348,Florent Balmont,FRA,Dijon,Ligue 1,2019,39.0,1980.0,4.5,263,244,18,11,0,0,9,4,3,1,1,1,213,1,1,MF,35-39,Midfielder,France,Europe
292818,Jonathan Bamba,CIV,Lille,Ligue 1,2019,23.0,1996.0,21.5,835,766,63,15,7,5,51,17,31,17,10,0,662,6,19,"FW,MF",20-24,Forward,Ivory Coast,Africa
12249,ver Banega,ARG,Sevilla,La Liga,2019,31.0,1988.0,27.5,2401,2122,263,132,9,70,164,10,121,46,49,3,1959,16,39,MF,30-34,Midfielder,Argentina,South America
165873,Federico Barba,ITA,Valladolid,La Liga,2019,25.0,1993.0,5.0,218,176,40,4,0,5,5,36,0,0,0,0,140,2,3,DF,25-29,Defender,Italy,Europe
273438,Danilo Barbosa,BRA,Nice,Ligue 1,2019,23.0,1996.0,12.5,793,773,19,19,1,2,1,0,0,0,0,0,725,1,5,"DF,MF",20-24,Defender,Brazil,South America
15773,Phil Bardsley,SCO,Burnley,Premier League,2019,34.0,1985.0,21.0,921,673,240,18,3,7,33,222,0,0,0,0,604,8,17,DF,30-34,Defender,Scotland,Europe
255942,Nicol Barella,ITA,Inter,Serie A,2019,22.0,1997.0,22.4,1237,1214,16,10,1,19,38,5,1,0,0,0,1007,7,30,MF,20-24,Midfielder,Italy,Europe
39828,Antonino Barill,ITA,Parma,Serie A,2019,31.0,1988.0,18.8,523,505,15,3,1,1,25,2,7,3,2,0,399,3,14,MF,30-34,Midfielder,Italy,Europe
131978,Ross Barkley,ENG,Chelsea,Premier League,2019,25.0,1993.0,12.3,635,619,14,8,6,9,12,3,3,1,0,0,555,2,8,MF,25-29,Midfielder,England,Europe
63200,Ashley Barnes,ENG,Burnley,Premier League,2019,29.0,1989.0,15.0,259,255,2,0,3,0,5,1,0,0,0,0,138,2,14,FW,25-29,Forward,England,Europe
398065,Harvey Barnes,ENG,Leicester City,Premier League,2019,21.0,1997.0,23.1,745,740,1,0,5,3,41,1,0,0,0,0,562,4,17,"MF,FW",20-24,Midfielder,England,Europe
241889,Antonio Barreca,ITA,Genoa,Serie A,2019,24.0,1995.0,12.2,396,319,76,3,0,1,62,73,0,0,0,0,260,1,22,"DF,FW",20-24,Defender,Italy,Europe
486624,Musa Barrow,GAM,Bologna,Serie A,2019,20.0,1998.0,15.0,596,523,69,12,3,18,59,10,36,26,4,0,427,4,9,"FW,MF",20-24,Forward,Gambia,Africa
36207,Fin Bartels,GER,Werder Bremen,Bundesliga,2019,32.0,1987.0,3.8,153,147,6,0,0,0,10,5,1,1,0,0,110,0,9,"MF,FW",30-34,Midfielder,Germany,Europe
134883,Daniele Baselli,ITA,Torino,Serie A,2019,27.0,1992.0,14.2,723,622,96,59,1,8,51,5,32,2,4,0,576,5,5,MF,25-29,Midfielder,Italy,Europe
334835,Toma Bai,CRO,Bordeaux,Ligue 1,2019,22.0,1996.0,11.0,590,538,52,21,3,4,47,2,29,24,3,0,457,0,7,MF,20-24,Midfielder,Croatia,Europe
315853,Alessandro Bastoni,ITA,Inter,Serie A,2019,20.0,1999.0,21.3,1460,1368,85,63,1,27,20,22,0,0,0,0,1278,7,17,DF,20-24,Defender,Italy,Europe
34787,Julian Baumgartlinger,AUT,Leverkusen,Bundesliga,2019,31.0,1988.0,19.9,1124,1076,44,40,2,11,3,4,0,0,0,0,1013,4,10,MF,30-34,Midfielder,Austria,Europe
324278,Christoph Baumgartner,AUT,Hoffenheim,Bundesliga,2019,19.0,1999.0,16.6,496,457,34,2,0,2,17,6,8,4,4,0,344,5,24,"MF,FW",Under 20,Midfielder,Austria,Europe
283001,Noah Joel Sarenren Bazee,NGA,Augsburg,Bundesliga,2019,22.0,1996.0,4.2,73,73,0,0,0,0,10,0,0,0,0,0,36,0,15,FW,20-24,Forward,Nigeria,Africa
