rk,player,nation,squad,comp,season,age,born,ninety_mins_played,ga,penalties_allowed,free_kick_goals_allowed,corner_goals_allowed,own_goals,post_shot_xg,post_shot_xg_on_target,post_shot_xg_minus_ga,post_shot_xg_minus_ga_per_90,passes_completed_plus_40_yards,passes_attempted_plus_40_yards,passes_pct_plus_40_yards,total_passes_attempted,throws_attempted,launch_pct,avg_pass_length,goal_kicks_attempted,goal_kick_launch_pct,avg_goal_kick_length,crosses_faced,crosses_stopped,crosses_stopped_pct,defensive_actions_outside_penalty_area,defensive_opa_per_90,avg_defensive_action_distance,position,age_range,general_position,country,continent
77,Angus Gunn,SCO,Southampton,Premier League,2018,22,1996,12.0,18,0,0,2,0,14.9,0.28,-3.1,-0.26,69,249,27.7,215,17,77.2,48.4,91,91.2,60.8,166,5,3.0,12,1.00,14.3,GK,20-24,Goalkeeper,Scotland,Europe
78,Régis Gurtner,FRA,Amiens,Ligue 1,2018,31,1986,38.0,52,6,3,7,2,47.9,0.25,-2.1,-0.06,296,775,38.2,826,82,59.2,42.7,329,86.9,56.7,571,14,2.5,18,0.47,13.7,GK,30-34,Goalkeeper,France,Europe
79,Ben Hamer,ENG,Huddersfield,Premier League,2018,30,1987,6.1,21,3,2,1,1,18.5,0.37,-1.5,-0.25,57,155,36.8,151,12,73.5,48.9,52,84.6,56.3,69,5,7.2,4,0.65,12.8,GK,30-34,Goalkeeper,England,Europe
81,Joe Hart,ENG,Burnley,Premier League,2018,31,1987,19.0,41,1,1,6,1,36.0,0.30,-4.0,-0.21,202,500,40.4,434,50,75.8,49.2,181,94.5,65.2,310,6,1.9,14,0.74,13.3,GK,30-34,Goalkeeper,England,Europe
82,Tom Heaton,ENG,Burnley,Premier League,2018,32,1986,19.0,27,1,1,2,3,22.0,0.26,-2.0,-0.10,179,457,39.2,414,45,73.4,48.2,172,89.0,60.7,333,8,2.4,29,1.53,16.4,GK,30-34,Goalkeeper,England,Europe
83,Wayne Hennessey,WAL,Crystal Palace,Premier League,2018,31,1987,17.5,26,3,1,4,0,22.8,0.28,-3.2,-0.18,111,342,32.5,373,66,59.0,43.6,143,85.3,63.1,300,13,4.3,15,0.86,13.6,GK,30-34,Goalkeeper,Wales,Europe
85,Marwin Hitz,SUI,Dortmund,Bundesliga,2018,30,1987,2.0,4,0,0,1,0,2.4,0.40,-1.6,-0.79,6,19,31.6,51,6,25.5,31.0,13,46.2,43.1,33,1,3.0,2,1.00,12.0,GK,30-34,Goalkeeper,Switzerland,Europe
86,Lukáš Hrádecký,FIN,Leverkusen,Bundesliga,2018,28,1989,32.0,47,3,2,9,2,38.2,0.27,-6.8,-0.21,199,438,45.4,1160,162,29.1,31.8,193,52.3,41.6,401,10,2.5,51,1.59,18.5,GK,25-29,Goalkeeper,Finland,Europe
87,Salvador Ichazo,URU,Torino,Serie A,2018,26,1992,2.8,2,1,0,1,0,2.6,0.18,+0.6,+0.22,24,55,43.6,60,9,55.0,41.5,27,81.5,49.9,43,1,2.3,1,0.36,12.0,GK,25-29,Goalkeeper,Uruguay,South America
89,Jandrei,BRA,Genoa,Serie A,2018,25,1993,1.0,1,0,0,1,0,0.9,0.34,-0.1,-0.09,12,23,52.2,26,3,69.2,44.2,6,83.3,54.0,10,0,0.0,1,1.00,25.0,GK,25-29,Goalkeeper,Brazil,South America
