rk,player,nation,squad,comp,season,age,born,mp,starts,min,ninety_mins_played,goals_against,ga_per_90,shots_on_target_against,saves,save_pct,wins,draws,losses,clean_sheets,clean_sheet_pct,penalties_faced,penalties_allowed,penalties_saved,penalties_missed,penalty_save_pct,position,age_range,general_position,country,continent
42,Iván Cuéllar,ESP,Leganés,La Liga,2018,34,1984,34,34,3056,33.9,38,1.12,115,78,68.7,10,12,12,9,26.5,2,2,0,0,0.0,GK,30-34,Goalkeeper,Spain,Europe
44,Javier Díaz,ESP,Sevilla,La Liga,2018,21,1997,1,1,90,1.0,1,1.00,2,1,100.0,0,0,1,0,0.0,1,1,0,0,0.0,GK,20-24,Goalkeeper,Spain,Europe
46,Marko Dmitrović,SRB,Eibar,La Liga,2018,26,1992,24,24,2160,24.0,30,1.25,86,55,68.6,9,6,9,5,20.8,4,3,1,0,25.0,GK,25-29,Goalkeeper,Serbia,Europe
47,Jaume Doménech,ESP,Valencia,La Liga,2018,27,1990,4,4,360,4.0,1,0.25,13,12,92.3,2,2,0,3,75.0,0,0,0,0,,GK,25-29,Goalkeeper,Spain,Europe
49,Bartłomiej Drągowski,POL,Fiorentina,Serie A,2018,20,1997,3,2,225,2.5,2,0.80,8,6,75.0,0,1,1,1,50.0,0,0,0,0,,GK,20-24,Goalkeeper,Poland,Europe
50,Bartłomiej Drągowski,POL,Empoli,Serie A,2018,20,1997,14,14,1260,14.0,24,1.71,96,71,78.1,5,2,7,3,21.4,4,3,1,0,25.0,GK,20-24,Goalkeeper,Poland,Europe
51,Jaroslav Drobný,CZE,Düsseldorf,Bundesliga,2018,38,1979,2,2,180,2.0,3,1.50,9,6,66.7,1,0,1,0,0.0,0,0,0,0,,GK,35-39,Goalkeeper,Czech Republic,Europe
57,Łukasz Fabiański,POL,West Ham,Premier League,2018,33,1985,38,38,3420,38.0,55,1.45,198,143,74.2,15,7,16,7,18.4,5,4,1,0,20.0,GK,30-34,Goalkeeper,Poland,Europe
58,Fabricio,ESP,Fulham,Premier League,2018,30,1987,2,2,180,2.0,5,2.50,21,16,76.2,0,0,2,0,0.0,0,0,0,0,,GK,30-34,Goalkeeper,Spain,Europe
60,Aitor Fernández,ESP,Levante,La Liga,2018,27,1991,16,16,1440,16.0,24,1.50,83,60,75.9,4,5,7,2,12.5,4,4,0,0,0.0,GK,25-29,Goalkeeper,Spain,Europe
61,Andrés Fernández,ESP,Villarreal,La Liga,2018,31,1986,6,6,540,6.0,7,1.17,23,16,73.9,3,2,1,2,33.3,1,1,0,0,0.0,GK,30-34,Goalkeeper,Spain,Europe
66,Alberto García,ESP,Rayo Vallecano,La Liga,2018,33,1985,17,17,1530,17.0,35,2.06,87,50,60.9,3,4,10,4,23.5,4,1,3,0,75.0,GK,30-34,Goalkeeper,Spain,Europe
68,David de Gea,ESP,Manchester Utd,Premier League,2018,27,1990,38,38,3420,38.0,54,1.42,171,120,71.9,19,9,10,7,18.4,6,6,0,0,0.0,GK,25-29,Goalkeeper,Spain,Europe
74,Vicente Guaita,ESP,Crystal Palace,Premier League,2018,31,1987,20,20,1755,19.5,23,1.18,85,63,74.1,10,4,6,7,35.0,1,1,0,0,0.0,GK,30-34,Goalkeeper,Spain,Europe
