rk,player,nation,squad,comp,season,age,born,mp,starts,min,ninety_mins_played,goals_against,ga_per_90,shots_on_target_against,saves,save_pct,wins,draws,losses,clean_sheets,clean_sheet_pct,penalties_faced,penalties_allowed,penalties_saved,penalties_missed,penalty_save_pct,position,age_range,general_position,country,continent
218,Petar Zovko,BIH,Spezia,Serie A,2021,19,2002,1,0,29,0.3,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,GK,Under 20,Goalkeeper,Bosnia and Herzegovina,Europe
1,Julen Agirrezabala,ESP,Athletic Club,La Liga,2021,20,2000,4,4,360,4.0,5,1.25,20,15,75.0,1,2,1,1,25.0,0,0,0,0,,GK,20-24,Goalkeeper,Spain,Europe
5,Kepa Arrizabalaga,ESP,Chelsea,Premier League,2021,26,1994,4,4,360,4.0,2,0.50,13,11,84.6,2,1,1,2,50.0,0,0,0,0,,GK,25-29,Goalkeeper,Spain,Europe
6,Sergio Asenjo,ESP,Villarreal,La Liga,2021,32,1989,6,6,540,6.0,9,1.50,28,19,71.4,2,2,2,0,0.0,1,1,0,0,0.0,GK,30-34,Goalkeeper,Spain,Europe
9,Édgar Badía,ESP,Elche,La Liga,2021,29,1992,24,24,2160,24.0,35,1.46,114,78,75.4,8,5,11,5,20.8,9,7,1,1,12.5,GK,25-29,Goalkeeper,Spain,Europe
15,Vid Belec,SVN,Salernitana,Serie A,2021,31,1990,23,21,1938,21.5,49,2.28,135,87,65.9,3,2,16,1,4.8,5,3,1,1,25.0,GK,30-34,Goalkeeper,Slovenia,Europe
29,Marcin Bułka,POL,Nice,Ligue 1,2021,21,1999,1,1,90,1.0,1,1.00,5,4,80.0,0,0,1,0,0.0,0,0,0,0,,GK,20-24,Goalkeeper,Poland,Europe
32,Cárdenas,ESP,Levante,La Liga,2021,24,1997,24,24,2160,24.0,46,1.92,120,74,65.0,6,6,12,5,20.8,4,4,0,0,0.0,GK,20-24,Goalkeeper,Spain,Europe
33,Kiko Casilla,ESP,Elche,La Liga,2021,34,1986,14,14,1260,14.0,17,1.21,60,43,71.7,3,4,7,3,21.4,0,0,0,0,,GK,30-34,Goalkeeper,Spain,Europe
36,Diego Conde,ESP,Getafe,La Liga,2021,22,1998,1,0,6,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,GK,20-24,Goalkeeper,Spain,Europe
44,Javier Díaz,ESP,Sevilla,La Liga,2021,24,1997,1,1,90,1.0,1,1.00,2,1,50.0,0,1,0,0,0.0,0,0,0,0,,GK,20-24,Goalkeeper,Spain,Europe
48,Marko Dmitrović,SRB,Sevilla,La Liga,2021,29,1992,6,6,540,6.0,5,0.83,19,14,73.7,4,2,0,4,66.7,0,0,0,0,,GK,25-29,Goalkeeper,Serbia,Europe
49,Jaume Doménech,ESP,Valencia,La Liga,2021,30,1990,4,3,343,3.8,4,1.05,11,8,63.6,2,0,1,1,33.3,0,0,0,0,,GK,30-34,Goalkeeper,Spain,Europe
51,Bartłomiej Drągowski,POL,Fiorentina,Serie A,2021,23,1997,7,7,556,6.2,8,1.29,26,17,73.1,3,0,4,2,28.6,2,1,1,0,50.0,GK,20-24,Goalkeeper,Poland,Europe
55,Aarón Escandell,ESP,Granada,La Liga,2021,25,1995,4,3,284,3.2,6,1.90,16,10,75.0,0,2,1,1,33.3,2,2,0,0,0.0,GK,25-29,Goalkeeper,Spain,Europe
57,Łukasz Fabiański,POL,West Ham,Premier League,2021,36,1985,37,37,3330,37.0,50,1.35,162,111,70.4,16,8,13,8,21.6,6,2,3,1,60.0,GK,35-39,Goalkeeper,Poland,Europe
60,Aitor Fernández,ESP,Levante,La Liga,2021,30,1991,13,13,1166,13.0,29,2.24,81,51,65.4,1,5,7,2,15.4,2,1,1,0,50.0,GK,30-34,Goalkeeper,Spain,Europe
61,Álvaro Fernández,ESP,Brentford,Premier League,2021,23,1998,12,12,1080,12.0,24,2.00,69,47,66.7,3,2,7,1,8.3,1,1,0,0,0.0,GK,20-24,Goalkeeper,Spain,Europe
69,Joan García,ESP,Espanyol,La Liga,2021,20,2001,2,1,108,1.2,3,2.50,3,0,0.0,0,0,1,0,0.0,0,0,0,0,,GK,20-24,Goalkeeper,Spain,Europe
70,David de Gea,ESP,Manchester Utd,Premier League,2021,30,1990,38,38,3420,38.0,57,1.50,180,124,70.0,16,10,12,8,21.1,5,3,2,0,40.0,GK,30-34,Goalkeeper,Spain,Europe
72,Rafał Gikiewicz,POL,Augsburg,Bundesliga,2021,33,1987,34,34,3060,34.0,56,1.65,156,102,67.3,10,8,16,9,26.5,5,5,0,0,0.0,GK,30-34,Goalkeeper,Poland,Europe
79,Vicente Guaita,ESP,Crystal Palace,Premier League,2021,34,1987,30,30,2655,29.5,33,1.12,116,83,74.1,9,11,10,11,36.7,3,3,0,0,0.0,GK,30-34,Goalkeeper,Spain,Europe
82,Samir Handanović,SVN,Inter,Serie A,2021,37,1984,37,37,3330,37.0,30,0.81,124,95,79.0,25,9,3,15,40.5,4,4,0,0,0.0,GK,35-39,Goalkeeper,Slovenia,Europe
84,Sergio Herrera,ESP,Osasuna,La Liga,2021,28,1993,36,36,3240,36.0,48,1.33,147,97,70.1,12,10,14,12,33.3,7,4,3,0,42.9,GK,25-29,Goalkeeper,Spain,Europe
92,Kristoffer Klaesson,NOR,Leeds United,Premier League,2021,20,2000,1,0,36,0.4,0,0.00,4,4,100.0,0,0,0,0,,0,0,0,0,,GK,20-24,Goalkeeper,Norway,Europe
104,Diego López,ESP,Espanyol,La Liga,2021,39,1981,36,36,3177,35.3,49,1.39,157,110,70.7,10,12,14,9,25.0,4,3,0,1,0.0,GK,35-39,Goalkeeper,Spain,Europe
105,Pau López,ESP,Marseille,Ligue 1,2021,26,1994,29,29,2610,29.0,31,1.07,86,55,68.6,15,6,8,10,34.5,4,4,0,0,0.0,GK,25-29,Goalkeeper,Spain,Europe
107,Marcel Lotka,POL,Hertha BSC,Bundesliga,2021,20,2001,10,9,885,9.8,20,2.03,49,29,65.3,2,1,6,2,22.2,3,3,0,0,0.0,GK,20-24,Goalkeeper,Poland,Europe
118,Josep Martinez,ESP,RB Leipzig,Bundesliga,2021,23,1998,1,1,90,1.0,3,3.00,4,1,25.0,0,0,1,0,0.0,0,0,0,0,,GK,20-24,Goalkeeper,Spain,Europe
124,Vanja Milinković-Savić,SRB,Torino,Serie A,2021,24,1997,27,27,2430,27.0,33,1.22,80,46,67.5,9,7,11,4,14.8,8,7,1,0,12.5,GK,20-24,Goalkeeper,Serbia,Europe
134,Jan Oblak,SVN,Atlético Madrid,La Liga,2021,28,1993,38,38,3420,38.0,43,1.13,106,65,66.0,21,8,9,12,31.6,8,7,1,0,12.5,GK,25-29,Goalkeeper,Slovenia,Europe
135,Oier Olazábal,ESP,Espanyol,La Liga,2021,31,1989,2,1,135,1.5,1,0.67,9,8,100.0,0,0,1,1,100.0,1,1,0,0,0.0,GK,30-34,Goalkeeper,Spain,Europe
142,Fernando Pacheco,ESP,Alavés,La Liga,2021,29,1992,34,34,3053,33.9,60,1.77,148,85,62.8,8,5,21,5,14.7,8,5,3,0,37.5,GK,25-29,Goalkeeper,Spain,Europe
148,Juan Pérez,ESP,Osasuna,La Liga,2021,25,1996,2,2,180,2.0,3,1.50,4,2,25.0,0,1,1,0,0.0,0,0,0,0,,GK,25-29,Goalkeeper,Spain,Europe
157,Alejandro Primo,ESP,Levante,La Liga,2021,17,2004,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,,GK,Under 20,Goalkeeper,Spain,Europe
160,Boris Radunović,SRB,Cagliari,Serie A,2021,25,1996,3,3,270,3.0,5,1.67,17,11,76.5,0,2,1,1,33.3,2,1,1,0,50.0,GK,25-29,Goalkeeper,Serbia,Europe
161,Predrag Rajković,SRB,Reims,Ligue 1,2021,25,1995,38,38,3420,38.0,44,1.16,161,116,75.8,11,13,14,11,28.9,7,5,1,1,16.7,GK,25-29,Goalkeeper,Serbia,Europe
165,David Raya,ESP,Brentford,Premier League,2021,25,1995,24,24,2160,24.0,27,1.13,103,76,77.7,10,5,9,8,33.3,4,4,0,0,0.0,GK,25-29,Goalkeeper,Spain,Europe
166,Manolo Reina,ESP,Mallorca,La Liga,2021,36,1985,21,21,1890,21.0,26,1.24,75,49,68.0,6,9,6,8,38.1,3,2,1,0,33.3,GK,35-39,Goalkeeper,Spain,Europe
167,Pepe Reina,ESP,Lazio,Serie A,2021,38,1982,15,15,1350,15.0,29,1.93,60,31,58.3,6,4,5,2,13.3,5,4,0,1,0.0,GK,35-39,Goalkeeper,Spain,Europe
168,Álex Remiro,ESP,Real Sociedad,La Liga,2021,26,1995,35,35,3150,35.0,32,0.91,112,79,75.0,15,11,9,19,54.3,5,4,1,0,20.0,GK,25-29,Goalkeeper,Spain,Europe
169,Sergio Rico,ESP,Mallorca,La Liga,2021,27,1993,14,14,1260,14.0,29,2.07,57,29,54.4,4,0,10,1,7.1,4,3,1,0,25.0,GK,25-29,Goalkeeper,Spain,Europe
170,Sergio Rico,ESP,Paris S-G,Ligue 1,2021,27,1993,1,0,23,0.3,1,3.91,3,2,66.7,0,0,0,0,,0,0,0,0,,GK,25-29,Goalkeeper,Spain,Europe
172,Leo Román,ESP,Mallorca,La Liga,2021,21,2000,2,2,180,2.0,5,2.50,14,10,71.4,0,0,2,0,0.0,1,1,0,0,0.0,GK,20-24,Goalkeeper,Spain,Europe
181,Robert Sánchez,ESP,Brighton,Premier League,2021,23,1997,37,37,3329,37.0,42,1.14,141,99,72.3,12,15,10,11,29.7,4,3,0,1,0.0,GK,20-24,Goalkeeper,Spain,Europe
191,Unai Simón,ESP,Athletic Club,La Liga,2021,24,1997,34,34,3060,34.0,31,0.91,111,81,74.8,13,11,10,12,35.3,3,3,0,0,0.0,GK,20-24,Goalkeeper,Spain,Europe
194,Antonio Sivera,ESP,Alavés,La Liga,2021,24,1996,4,3,277,3.1,4,1.30,16,12,81.3,0,1,2,1,33.3,1,1,0,0,0.0,GK,20-24,Goalkeeper,Spain,Europe
195,Łukasz Skorupski,POL,Bologna,Serie A,2021,30,1991,36,36,3240,36.0,53,1.47,174,122,74.1,11,9,16,12,33.3,9,8,1,0,11.1,GK,30-34,Goalkeeper,Poland,Europe
197,David Soria,ESP,Getafe,La Liga,2021,28,1993,38,38,3414,37.9,41,1.08,132,91,70.5,8,15,15,13,34.2,4,2,1,1,33.3,GK,25-29,Goalkeeper,Spain,Europe
203,Wojciech Szczęsny,POL,Juventus,Serie A,2021,31,1990,33,33,2970,33.0,29,0.88,105,73,75.2,18,9,6,12,36.4,6,3,3,0,50.0,GK,30-34,Goalkeeper,Poland,Europe
3,Doğan Alemdar,TUR,Rennes,Ligue 1,2022,19,2002,6,4,406,4.5,8,1.77,16,7,56.3,2,0,2,1,25.0,2,1,1,0,50.0,GK,Under 20,Goalkeeper,Turkey,Asia
4,Alisson,BRA,Liverpool,Premier League,2022,29,1992,37,37,3330,37.0,43,1.16,147,105,72.1,19,9,9,14,37.8,4,2,1,1,33.3,GK,25-29,Goalkeeper,Brazil,South America
5,Alphonse Areola,FRA,West Ham,Premier League,2022,29,1993,5,2,309,3.4,7,2.04,16,9,68.8,0,1,1,1,50.0,2,2,0,0,0.0,GK,25-29,Goalkeeper,France,Europe
8,Emil Audero,ITA,Sampdoria,Serie A,2022,25,1997,25,25,2250,25.0,39,1.56,121,82,71.9,2,6,17,4,16.0,7,5,2,0,28.6,GK,25-29,Goalkeeper,Italy,Europe
10,Francesco Bardi,ITA,Bologna,Serie A,2022,30,1992,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,GK,30-34,Goalkeeper,Italy,Europe
11,Oliver Baumann,GER,Hoffenheim,Bundesliga,2022,32,1990,34,34,3060,34.0,57,1.68,161,105,65.8,10,6,18,5,14.7,3,2,0,1,0.0,GK,30-34,Goalkeeper,Germany,Europe
12,Gavin Bazunu,IRL,Southampton,Premier League,2022,20,2002,32,32,2880,32.0,56,1.75,120,67,54.2,6,6,20,4,12.5,2,1,1,0,50.0,GK,20-24,Goalkeeper,Republic of Ireland,Europe
13,Asmir Begović,BIH,Everton,Premier League,2022,35,1987,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,GK,35-39,Goalkeeper,Bosnia and Herzegovina,Europe
14,Daniel Bentley,ENG,Wolves,Premier League,2022,29,1993,2,2,180,2.0,3,1.50,13,10,76.9,0,1,1,0,0.0,0,0,0,0,,GK,25-29,Goalkeeper,England,Europe
15,Paul Bernardoni,FRA,Angers,Ligue 1,2022,25,1997,27,27,2430,27.0,62,2.30,143,84,62.2,1,5,21,3,11.1,9,8,0,1,0.0,GK,25-29,Goalkeeper,France,Europe
16,Marco Bizot,NED,Brest,Ligue 1,2022,31,1991,37,37,3330,37.0,54,1.46,176,122,73.3,11,10,16,8,21.6,9,7,2,0,22.2,GK,30-34,Goalkeeper,Netherlands,Europe
18,Janis Blaswich,GER,RB Leipzig,Bundesliga,2022,31,1991,26,26,2340,26.0,29,1.12,75,45,69.3,16,4,6,7,26.9,7,6,1,0,14.3,GK,30-34,Goalkeeper,Germany,Europe
19,Joaquín Blázquez,ARG,Brest,Ligue 1,2022,21,2001,1,1,90,1.0,0,0.00,3,3,100.0,0,1,0,1,100.0,0,0,0,0,,GK,20-24,Goalkeeper,Argentina,South America
20,Yassine Bounou,MAR,Sevilla,La Liga,2022,31,1991,25,25,2151,23.9,41,1.72,106,66,63.2,7,6,12,4,16.0,3,2,1,0,33.3,GK,30-34,Goalkeeper,Morocco,Africa
21,Claudio Bravo,CHI,Betis,La Liga,2022,39,1983,12,12,1080,12.0,9,0.75,42,33,81.0,5,5,2,4,33.3,1,1,0,0,0.0,GK,35-39,Goalkeeper,Chile,South America
22,Fabian Bredlow,GER,Stuttgart,Bundesliga,2022,27,1995,15,15,1350,15.0,23,1.53,59,37,69.5,4,5,6,1,6.7,5,5,0,0,0.0,GK,25-29,Goalkeeper,Germany,Europe
25,Marco Carnesecchi,ITA,Cremonese,Serie A,2022,22,2000,27,27,2430,27.0,47,1.74,153,107,70.6,4,9,14,4,14.8,2,2,0,0,0.0,GK,20-24,Goalkeeper,Italy,Europe
26,Matis Carvalho,POR,Montpellier,Ligue 1,2022,23,1999,2,1,136,1.5,3,1.99,8,5,62.5,0,0,1,1,100.0,0,0,0,0,,GK,20-24,Goalkeeper,Portugal,Europe
27,Koen Casteels,BEL,Wolfsburg,Bundesliga,2022,30,1992,34,34,3060,34.0,48,1.41,147,101,70.1,13,10,11,12,35.3,7,4,1,2,20.0,GK,30-34,Goalkeeper,Belgium,Europe
28,Michele Cerofolini,ITA,Fiorentina,Serie A,2022,23,1999,5,5,450,5.0,3,0.60,11,8,81.8,4,1,0,2,40.0,1,1,0,0,0.0,GK,20-24,Goalkeeper,Italy,Europe
29,Lucas Chevalier,FRA,Lille,Ligue 1,2022,20,2001,32,32,2880,32.0,31,0.97,105,76,72.4,16,9,7,10,31.3,3,2,1,0,33.3,GK,20-24,Goalkeeper,France,Europe
30,Oliver Christensen,DEN,Hertha BSC,Bundesliga,2022,23,1999,33,33,2970,33.0,68,2.06,163,94,61.3,6,8,19,3,9.1,6,5,1,0,16.7,GK,20-24,Goalkeeper,Denmark,Europe
31,Andrea Consigli,ITA,Sassuolo,Serie A,2022,35,1987,35,35,3150,35.0,55,1.57,117,64,55.6,12,8,15,9,25.7,3,3,0,0,0.0,GK,35-39,Goalkeeper,Italy,Europe
32,Alex Cordaz,ITA,Inter,Serie A,2022,39,1983,1,0,26,0.3,0,0.00,2,2,100.0,0,0,0,1,,0,0,0,0,,GK,35-39,Goalkeeper,Italy,Europe
33,Benoît Costil,FRA,Auxerre,Ligue 1,2022,35,1987,19,19,1710,19.0,41,2.16,96,55,60.4,3,4,12,2,10.5,3,3,0,0,0.0,GK,35-39,Goalkeeper,France,Europe
34,Thibaut Courtois,BEL,Real Madrid,La Liga,2022,30,1992,31,31,2790,31.0,29,0.94,118,88,78.8,20,5,6,10,32.3,5,4,1,0,20.0,GK,30-34,Goalkeeper,Belgium,Europe
35,Alessio Cragno,ITA,Monza,Serie A,2022,28,1994,1,1,90,1.0,3,3.00,5,2,40.0,0,0,1,0,0.0,0,0,0,0,,GK,25-29,Goalkeeper,Italy,Europe
36,Finn Dahmen,GER,Mainz 05,Bundesliga,2022,24,1998,8,8,720,8.0,16,2.00,44,26,65.9,3,2,3,0,0.0,3,1,2,0,66.7,GK,20-24,Goalkeeper,Germany,Europe
37,Rémy Descamps,FRA,Nantes,Ligue 1,2022,26,1996,1,1,90,1.0,1,1.00,6,5,83.3,0,1,0,0,0.0,0,0,0,0,,GK,25-29,Goalkeeper,France,Europe
38,Michele Di Gregorio,ITA,Monza,Serie A,2022,25,1997,37,37,3330,37.0,49,1.32,167,119,72.5,14,10,13,10,27.0,3,3,0,0,0.0,GK,25-29,Goalkeeper,Italy,Europe
39,Mory Diaw,SEN,Clermont Foot,Ligue 1,2022,29,1993,37,37,3330,37.0,47,1.27,161,110,75.8,17,8,12,10,27.0,12,8,4,0,33.3,GK,25-29,Goalkeeper,Senegal,Africa
40,Stole Dimitrievski,MKD,Rayo Vallecano,La Liga,2022,28,1993,37,37,3324,36.9,49,1.33,139,94,67.6,13,10,14,9,24.3,5,4,0,1,0.0,GK,25-29,Goalkeeper,North Macedonia,Europe
41,Yehvann Diouf,FRA,Reims,Ligue 1,2022,22,1999,31,31,2790,31.0,31,1.00,137,107,78.1,11,12,8,14,45.2,1,1,0,0,0.0,GK,20-24,Goalkeeper,France,Europe
42,Ouparine Djoco,GNB,Clermont Foot,Ligue 1,2022,24,1998,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,,GK,20-24,Goalkeeper,Guinea-Bissau,Africa
44,Gianluigi Donnarumma,ITA,Paris S-G,Ligue 1,2022,23,1999,38,38,3409,37.9,40,1.06,160,120,76.3,27,4,7,13,34.2,5,2,1,2,33.3,GK,20-24,Goalkeeper,Italy,Europe
46,Martin Dúbravka,SVK,Newcastle Utd,Premier League,2022,33,1989,2,1,157,1.7,1,0.57,9,9,88.9,0,1,0,0,0.0,0,0,0,0,,GK,30-34,Goalkeeper,Slovakia,Europe
47,Maxime Dupé,FRA,Toulouse,Ligue 1,2022,29,1993,38,38,3420,38.0,57,1.50,179,122,70.4,13,9,16,9,23.7,7,4,3,0,42.9,GK,25-29,Goalkeeper,France,Europe
48,Ederson,BRA,Manchester City,Premier League,2022,28,1993,35,35,3150,35.0,32,0.91,77,46,62.3,26,4,5,11,31.4,3,3,0,0,0.0,GK,25-29,Goalkeeper,Brazil,South America
49,Tjark Ernst,GER,Hertha BSC,Bundesliga,2022,19,2003,1,1,90,1.0,1,1.00,7,6,85.7,1,0,0,0,0.0,0,0,0,0,,GK,Under 20,Goalkeeper,Germany,Europe
51,Ralf Fährmann,GER,Schalke 04,Bundesliga,2022,33,1988,12,12,1025,11.4,13,1.14,55,43,78.2,3,6,3,5,41.7,2,1,0,1,0.0,GK,30-34,Goalkeeper,Germany,Europe
52,Wladimiro Falcone,ITA,Lecce,Serie A,2022,27,1995,38,38,3420,38.0,46,1.21,156,112,73.7,8,12,18,6,15.8,6,5,1,0,16.7,GK,25-29,Goalkeeper,Italy,Europe
56,Vincenzo Fiorillo,ITA,Salernitana,Serie A,2022,32,1990,1,1,90,1.0,2,2.00,4,2,50.0,1,0,0,0,0.0,0,0,0,0,,GK,30-34,Goalkeeper,Italy,Europe
57,Mark Flekken,NED,Freiburg,Bundesliga,2022,29,1993,34,34,3060,34.0,44,1.29,150,106,74.0,17,8,9,13,38.2,6,5,0,1,0.0,GK,25-29,Goalkeeper,Netherlands,Europe
58,Yahia Fofana,CIV,Angers,Ligue 1,2022,21,2000,11,11,990,11.0,19,1.73,54,35,66.7,3,1,7,1,9.1,2,1,1,0,50.0,GK,20-24,Goalkeeper,Ivory Coast,Africa
59,Fraser Forster,ENG,Tottenham,Premier League,2022,34,1988,14,13,1215,13.5,24,1.78,55,30,60.0,5,3,5,3,23.1,3,2,1,0,33.3,GK,30-34,Goalkeeper,England,Europe
60,Gauthier Gallon,FRA,Troyes,Ligue 1,2022,29,1993,30,30,2667,29.6,65,2.19,177,114,66.1,3,9,18,0,0.0,5,5,0,0,0.0,GK,25-29,Goalkeeper,France,Europe
62,Paulo Gazzaniga,ARG,Girona,La Liga,2022,30,1992,28,28,2520,28.0,37,1.32,125,87,73.6,11,8,9,4,14.3,6,4,1,1,20.0,GK,30-34,Goalkeeper,Argentina,South America
66,Pierluigi Gollini,ITA,Fiorentina,Serie A,2022,27,1995,3,3,270,3.0,2,0.67,8,6,75.0,1,2,0,2,66.7,0,0,0,0,,GK,25-29,Goalkeeper,Italy,Europe
67,Pierluigi Gollini,ITA,Napoli,Serie A,2022,27,1995,4,4,360,4.0,4,1.00,16,12,75.0,2,1,1,2,50.0,0,0,0,0,,GK,25-29,Goalkeeper,Italy,Europe
69,Ivo Grbić,CRO,Atlético Madrid,La Liga,2022,26,1996,12,10,922,10.2,12,1.17,48,36,81.3,6,3,1,2,20.0,3,3,0,0,0.0,GK,25-29,Goalkeeper,Croatia,Europe
70,Dominik Greif,SVK,Mallorca,La Liga,2022,25,1997,1,1,90,1.0,3,3.00,8,5,62.5,0,0,1,0,0.0,0,0,0,0,,GK,25-29,Goalkeeper,Slovakia,Europe
71,Lennart Grill,GER,Union Berlin,Bundesliga,2022,23,1999,5,5,450,5.0,11,2.20,25,14,64.0,2,1,2,2,40.0,2,2,0,0,0.0,GK,20-24,Goalkeeper,Germany,Europe
73,Péter Gulácsi,HUN,RB Leipzig,Bundesliga,2022,32,1990,6,6,540,6.0,10,1.67,26,17,65.4,2,2,2,2,33.3,1,1,0,0,0.0,GK,30-34,Goalkeeper,Hungary,Europe
75,Dean Henderson,ENG,Nott'ham Forest,Premier League,2022,25,1997,18,18,1620,18.0,31,1.72,85,52,65.9,5,5,8,6,33.3,5,2,2,1,50.0,GK,25-29,Goalkeeper,England,Europe
76,Wayne Hennessey,WAL,Nott'ham Forest,Premier League,2022,35,1987,4,3,271,3.0,5,1.66,14,9,64.3,0,2,1,1,33.3,0,0,0,0,,GK,35-39,Goalkeeper,Wales,Europe
78,Lukáš Hrádecký,FIN,Leverkusen,Bundesliga,2022,32,1989,33,33,2969,33.0,47,1.42,142,97,71.8,14,8,11,9,27.3,7,7,0,0,0.0,GK,30-34,Goalkeeper,Finland,Europe
79,Daniel Iversen,DEN,Leicester City,Premier League,2022,25,1997,12,12,1080,12.0,22,1.83,59,38,66.1,2,4,6,1,8.3,2,2,0,0,0.0,GK,25-29,Goalkeeper,Denmark,Europe
80,Léo Jardim,BRA,Lille,Ligue 1,2022,27,1995,6,6,540,6.0,13,2.17,17,4,35.3,3,1,2,0,0.0,2,2,0,0,0.0,GK,25-29,Goalkeeper,Brazil,South America
81,Sam Johnstone,ENG,Crystal Palace,Premier League,2022,29,1993,9,9,810,9.0,10,1.11,34,25,76.5,4,3,2,3,33.3,2,2,0,0,0.0,GK,25-29,Goalkeeper,England,Europe
82,Filip Jørgensen,DEN,Villarreal,La Liga,2022,20,2002,2,2,180,2.0,3,1.50,6,3,50.0,0,1,1,0,0.0,0,0,0,0,,GK,20-24,Goalkeeper,Denmark,Europe
83,Bingourou Kamara,SEN,Montpellier,Ligue 1,2022,25,1996,5,4,408,4.5,11,2.43,25,13,60.0,0,1,3,0,0.0,3,1,1,1,50.0,GK,25-29,Goalkeeper,Senegal,Africa
84,Caoimhín Kelleher,IRL,Liverpool,Premier League,2022,23,1998,1,1,90,1.0,4,4.00,10,6,60.0,0,1,0,0,0.0,0,0,0,0,,GK,20-24,Goalkeeper,Republic of Ireland,Europe
85,Gregor Kobel,SUI,Dortmund,Bundesliga,2022,24,1997,27,27,2430,27.0,32,1.19,119,88,73.9,19,3,5,11,40.7,1,1,0,0,0.0,GK,20-24,Goalkeeper,Switzerland,Europe
87,Alban Lafont,FRA,Nantes,Ligue 1,2022,23,1999,37,37,3329,37.0,54,1.46,179,129,74.9,7,14,16,11,29.7,9,9,0,0,0.0,GK,20-24,Goalkeeper,France,Europe
88,Jean-Louis Leca,FRA,Lens,Ligue 1,2022,36,1985,1,1,90,1.0,1,1.00,4,3,75.0,1,0,0,0,0.0,0,0,0,0,,GK,35-39,Goalkeeper,France,Europe
89,Benjamin Lecomte,FRA,Espanyol,La Liga,2022,31,1991,10,10,899,10.0,14,1.40,40,27,65.0,1,5,4,1,10.0,0,0,0,0,,GK,30-34,Goalkeeper,France,Europe
90,Benjamin Lecomte,FRA,Montpellier,Ligue 1,2022,31,1991,19,19,1710,19.0,22,1.16,96,72,79.2,10,3,6,8,42.1,4,2,2,0,50.0,GK,30-34,Goalkeeper,France,Europe
91,Jeremías Ledesma,ARG,Cádiz,La Liga,2022,29,1993,34,34,3060,34.0,48,1.41,179,130,77.7,9,11,14,12,35.3,9,8,1,0,11.1,GK,25-29,Goalkeeper,Argentina,South America
92,Bernd Leno,GER,Fulham,Premier League,2022,30,1992,36,36,3240,36.0,51,1.42,192,142,77.1,15,5,16,8,22.2,8,7,1,0,12.5,GK,30-34,Goalkeeper,Germany,Europe
94,Benjamin Leroy,FRA,Ajaccio,Ligue 1,2022,33,1989,32,32,2798,31.1,60,1.93,133,74,60.9,6,4,22,4,12.5,9,8,0,1,0.0,GK,30-34,Goalkeeper,France,Europe
95,Alexandre Letellier,FRA,Paris S-G,Ligue 1,2022,31,1990,1,0,11,0.1,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,GK,30-34,Goalkeeper,France,Europe
97,Hugo Lloris,FRA,Tottenham,Premier League,2022,35,1986,25,25,2205,24.5,39,1.59,117,79,67.5,13,3,9,7,28.0,1,1,0,0,0.0,GK,35-39,Goalkeeper,France,Europe
98,Anthony Lopes,POR,Lyon,Ligue 1,2022,31,1990,32,32,2816,31.3,39,1.25,131,94,75.6,16,4,12,7,21.9,7,7,0,0,0.0,GK,30-34,Goalkeeper,Portugal,Europe
101,Andriy Lunin,UKR,Real Madrid,La Liga,2022,23,1999,7,7,630,7.0,7,1.00,18,12,61.1,4,1,2,3,42.9,0,0,0,0,,GK,20-24,Goalkeeper,Ukraine,Europe
102,Andrey Lunyov,RUS,Leverkusen,Bundesliga,2022,30,1991,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,GK,30-34,Goalkeeper,Russia,Europe
103,Mike Maignan,FRA,Milan,Serie A,2022,27,1995,22,22,1978,22.0,21,0.96,62,40,69.4,11,7,4,8,36.4,3,2,1,0,33.3,GK,25-29,Goalkeeper,France,Europe
104,Giorgi Mamardashvili,GEO,Valencia,La Liga,2022,21,2000,38,38,3420,38.0,45,1.18,148,105,70.9,11,9,18,7,18.4,5,2,0,3,0.0,GK,20-24,Goalkeeper,Georgia,Asia
105,Steve Mandanda,FRA,Rennes,Ligue 1,2022,37,1985,34,34,3014,33.5,31,0.93,110,79,73.6,19,5,10,12,35.3,3,2,1,0,33.3,GK,35-39,Goalkeeper,France,Europe
106,Vito Mannone,ITA,Lorient,Ligue 1,2022,34,1988,18,17,1608,17.9,24,1.34,84,60,72.6,4,6,7,5,29.4,1,1,0,0,0.0,GK,30-34,Goalkeeper,Italy,Europe
107,Agustín Marchesín,ARG,Celta Vigo,La Liga,2022,34,1988,19,19,1710,19.0,29,1.53,72,42,62.5,5,5,9,6,31.6,4,2,2,0,50.0,GK,30-34,Goalkeeper,Argentina,South America
108,Federico Marchetti,ITA,Spezia,Serie A,2022,39,1983,1,0,66,0.7,2,2.73,3,1,33.3,0,0,0,0,,0,0,0,0,,GK,35-39,Goalkeeper,Italy,Europe
